label,left_id,left_cluster_name,left_authors,left_a1,left_title,left_affiliation,left_proceeding,left_location,left_a2,left_a3,left_pages,left_editor,left_a4,left_a5,right_id,right_cluster_name,right_authors,right_a1,right_title,right_affiliation,right_proceeding,right_location,right_a2,right_a3,right_pages,right_editor,right_a4,right_a5,id
0,1015,kearns1994e,"m. kearns, m. li, and l. valiant.",41(6),learning boolean formulae.,,"journal of the association for computing machinery,",,,1995,"1298-1328,",,,,587,haussler1996,"david haussler, michael kearns, h. sebastian seung, and naftali tishby.",,rigorous learning curve bounds from statistical mechanics.,,"machine learning,","25:195--236,",,1996,,,,,589
0,710,kearns1988b,"kearns, m., l.g. valiant,",,"learning boolean formulae or finite automata is as hard as factoring',","aiken computation laboratory, harvard university,","technical report tr-14-88,",,,1988,,,,,587,haussler1996,"david haussler, michael kearns, h. sebastian seung, and naftali tishby.",,rigorous learning curve bounds from statistical mechanics.,,"machine learning,","25:195--236,",,1996,,,,,590
0,419,freund1997a,yoav freund and robert e. schapire.,55(1),a decision-theoretic generalization of on-line learning and an application to boosting.,,"journal of computer science and system sciences,",,,1997,"119-139,",,,,587,haussler1996,"david haussler, michael kearns, h. sebastian seung, and naftali tishby.",,rigorous learning curve bounds from statistical mechanics.,,"machine learning,","25:195--236,",,1996,,,,,591
0,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,435,goldman1989,"goldman, s.; rivest, r.; and schapire, r.",,learning binary relations and total orders.,,in proceedings of 30th annual symposium on foundation of computer science.,,,1989,46-51.,,,,592
0,401,freund1996e,y. freund and r. schapire.,,some experiments with a new boosting algorithm.,,"unpublished manuscript,",,,1996,,,,,435,goldman1989,"goldman, s.; rivest, r.; and schapire, r.",,learning binary relations and total orders.,,in proceedings of 30th annual symposium on foundation of computer science.,,,1989,46-51.,,,,593
0,756,kearns1989a,"m. kearns, l. pitt.",,a polynomial-time algorithm for learning k-variable pattern languages from examples.,,"proceedings of the 1989 workshop on computational learning theory,",,"morgan kaufmann publishers,","1989,",pp. 57-71.,,,,435,goldman1989,"goldman, s.; rivest, r.; and schapire, r.",,learning binary relations and total orders.,,in proceedings of 30th annual symposium on foundation of computer science.,,,1989,46-51.,,,,594
0,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,642,kearns1987,"m. kearns, m. li, l. pitt, and l. g. valiant.",,on the learnability of boolean formulae.,,"in proceedings of the nineteenth annual acm symposium on theory of computing,","new york, new york,",,1987,"pages 285-295,",,,may,595
1,715,kearns1989,m. kearns and l. valiant.,,(1989) cryptographic limitations on learning boolean formulae and finite automata.,,,,stoc-89.,,,,,,725,kearns1989,"m. kearns and l. valiant,",,cryptographic limitations on learning boolean formulae and finite automata.,,proc. 21st acm symposium on theory of computing (1989) 433-444.,,,,,,,,596
1,723,kearns1989,m. kearns and l. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proceedings of the 21 st annual acm symposium on theory of computing,",,,1989,,,,,725,kearns1989,"m. kearns and l. valiant,",,cryptographic limitations on learning boolean formulae and finite automata.,,proc. 21st acm symposium on theory of computing (1989) 433-444.,,,,,,,,597
0,715,kearns1989,m. kearns and l. valiant.,,(1989) cryptographic limitations on learning boolean formulae and finite automata.,,,,stoc-89.,,,,,,458,goldman1990c,"sally a. goldman, ronald l. rivest, and robert e. schapire.",,learning binary relations and total orders.,"mit laboratory for computer science,","technical report mit/lcs/tm-413,",,,1989,,,"a preliminary version is available in proceedings of the thirtieth annual symposium on foundations of computer science, pages 46-51,",may,598
0,136,ehrenfeucht1988,"a. ehrenfeucht, d. haussler, m. kearns. l.g. valiant.",,a general lower bound on the number of examples needed for learning.,,"33 proceedings of the 1988 workshop on computational learning theory,",,"morgan kaufmann publishers,","1988,",pp. 139-154.,,,,458,goldman1990c,"sally a. goldman, ronald l. rivest, and robert e. schapire.",,learning binary relations and total orders.,"mit laboratory for computer science,","technical report mit/lcs/tm-413,",,,1989,,,"a preliminary version is available in proceedings of the thirtieth annual symposium on foundations of computer science, pages 46-51,",may,599
0,1249,schapire1993,"r. e. schapire, l. m. sellie.",,learning sparse multivariate polynomial over a field with queries and counterexamples.,,in proceedings of the sixth annual acm workshop on computational learning theory.,,,1993,,,,"july,",458,goldman1990c,"sally a. goldman, ronald l. rivest, and robert e. schapire.",,learning binary relations and total orders.,"mit laboratory for computer science,","technical report mit/lcs/tm-413,",,,1989,,,"a preliminary version is available in proceedings of the thirtieth annual symposium on foundations of computer science, pages 46-51,",may,600
0,1113,rivest1989,r. rivest and r. schapire.,,inference of finite automata using homing sequences.,,"proceedings of the 21st annual acm symposium on theory of computing,",,,1989,"pages 411-420,",,,,458,goldman1990c,"sally a. goldman, ronald l. rivest, and robert e. schapire.",,learning binary relations and total orders.,"mit laboratory for computer science,","technical report mit/lcs/tm-413,",,,1989,,,"a preliminary version is available in proceedings of the thirtieth annual symposium on foundations of computer science, pages 46-51,",may,601
0,234,freund1992c,"freund, y. and haussler, d.",,"unsupervised learning of distributions on binary vectors using two layer networks,",,"in advances in neural information processing systems iv (denver 1992),",,and r.,"(1992),",,"ed. j. e. moody, s. j. hanson,",,,458,goldman1990c,"sally a. goldman, ronald l. rivest, and robert e. schapire.",,learning binary relations and total orders.,"mit laboratory for computer science,","technical report mit/lcs/tm-413,",,,1989,,,"a preliminary version is available in proceedings of the thirtieth annual symposium on foundations of computer science, pages 46-51,",may,602
0,1047,kearns1997a,"kearns, m., mansour, y., ng, a., and ron, d.",27,an experimental and theoretical comparison of model selection methods.,,"machine learning,",,,(1997).,7-50.,,,,458,goldman1990c,"sally a. goldman, ronald l. rivest, and robert e. schapire.",,learning binary relations and total orders.,"mit laboratory for computer science,","technical report mit/lcs/tm-413,",,,1989,,,"a preliminary version is available in proceedings of the thirtieth annual symposium on foundations of computer science, pages 46-51,",may,603
0,1288,schapire1998,"schapire, r. & singer, y.",,"improved boosting algorithms using confidence-rated predictions,",,in `proceedings of the eleventh annual conference on computational learning theory'.,,,"(1998),",43,,,,458,goldman1990c,"sally a. goldman, ronald l. rivest, and robert e. schapire.",,learning binary relations and total orders.,"mit laboratory for computer science,","technical report mit/lcs/tm-413,",,,1989,,,"a preliminary version is available in proceedings of the thirtieth annual symposium on foundations of computer science, pages 46-51,",may,604
1,715,kearns1989,m. kearns and l. valiant.,,(1989) cryptographic limitations on learning boolean formulae and finite automata.,,,,stoc-89.,,,,,,735,kearns1989,m. kearns and l. valiant.,,cryptographic limitations on learning boolean formulae and finite automata.,,"in proc. 21st acm symposium on theory of computing,",,"acm press,",1989,pages 433-444.,,,,605
1,715,kearns1989,m. kearns and l. valiant.,,(1989) cryptographic limitations on learning boolean formulae and finite automata.,,,,stoc-89.,,,,,,751,kearns1989,"m. kearns, l.g. valiant.",,cryptographic limitations on learning boolean formulae and finite automata.,,"34 proceedings of the 21st a.c.m. symposium on the theory of computing,",,,"1989,",pp. 433-444.,,,,606
0,329,freund1996a,y. freund.,,predicting a binary sequence almost as well as the optimal biased coin.,,"in proceedings of the 9th annual conference on computational learning theory,",,,1996,"pages 89-98,",,,,751,kearns1989,"m. kearns, l.g. valiant.",,cryptographic limitations on learning boolean formulae and finite automata.,,"34 proceedings of the 21st a.c.m. symposium on the theory of computing,",,,"1989,",pp. 433-444.,,,,607
0,325,freund1995f,"y. freund, m. kearns, y. mansour, d. ron, r. rubinfeld, and r. schapire.",,efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,"in proceedings of the thirty seventh annual symposium on foundations of computer science,",,,1996,"pages 332-341,",,,,613,helmbold1997c,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",27(1),a comparison of new and old algorithms for a mixture estimation problem.,,"machine learning,",,,1997,"97-119,",,,,608
0,851,kearns1993a,michael kearns and ming li.,22,learning in the presence of malicious errors.,,"siam journal on computing,",,,1993,"807-837,",,,,613,helmbold1997c,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",27(1),a comparison of new and old algorithms for a mixture estimation problem.,,"machine learning,",,,1997,"97-119,",,,,609
0,450,goldman1990a,"sally a. goldman, michael j. kearns, and robert e. schapire.",,on the sample complexity of weak learning.,,"in proceedings of colt '90,",,"morgan kaufmann,",1990,pages 217-231.,,,,613,helmbold1997c,"d. p. helmbold, r. e. schapire, y. singer, and m. k. warmuth.",27(1),a comparison of new and old algorithms for a mixture estimation problem.,,"machine learning,",,,1997,"97-119,",,,,610
0,325,freund1995f,"y. freund, m. kearns, y. mansour, d. ron, r. rubinfeld, and r. schapire.",,efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,"in proceedings of the thirty seventh annual symposium on foundations of computer science,",,,1996,"pages 332-341,",,,,1019,kearns1993b,m. kearns and h. s.,18,"seung (1995). learning from a population of hypotheses,",,"machine learning,",,,,255-276.,,,,611
1,858,kearns1993b,m. kearns.,,efficient noise-tolerant learning from statistical queries.,,"in proceedings of the twenty-fifth annual acm symposium on theory of computing,",,,1993,"pages 392-401,",,,,1019,kearns1993b,m. kearns and h. s.,18,"seung (1995). learning from a population of hypotheses,",,"machine learning,",,,,255-276.,,,,612
1,899,kearns1993b,michael kearns.,,efficient noise-tolerant learning from statistical queries.,,"in proceedings of the 25 th annual acm symposium on the theory of computing,","san diego,",,1993,"pages 392-401,",,,,1019,kearns1993b,m. kearns and h. s.,18,"seung (1995). learning from a population of hypotheses,",,"machine learning,",,,,255-276.,,,,613
1,889,kearns1993b,m. j. kearns.,,efficient noise-tolerant learning from statistical queries.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 392-401,",,,,1019,kearns1993b,m. kearns and h. s.,18,"seung (1995). learning from a population of hypotheses,",,"machine learning,",,,,255-276.,,,,614
0,325,freund1995f,"y. freund, m. kearns, y. mansour, d. ron, r. rubinfeld, and r. schapire.",,efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,"in proceedings of the thirty seventh annual symposium on foundations of computer science,",,,1996,"pages 332-341,",,,,430,freund1997c,"yoav freund, h. sebastian seung, eli shamir, naftali tishby,",,"selective sampling using the query by committee algorithm,",,,,,1995,,,,july,615
0,128,druker1992,"h. druker, r. schapire, p. simard,","vol. 5,","improving performance in neural networks using a boosting algorithm,",,"advances in neural information processing systems,",,"morgan kaufmann,","1993,",42-49.,,,,430,freund1997c,"yoav freund, h. sebastian seung, eli shamir, naftali tishby,",,"selective sampling using the query by committee algorithm,",,,,,1995,,,,july,616
0,1047,kearns1997a,"kearns, m., mansour, y., ng, a., and ron, d.",27,an experimental and theoretical comparison of model selection methods.,,"machine learning,",,,(1997).,7-50.,,,,430,freund1997c,"yoav freund, h. sebastian seung, eli shamir, naftali tishby,",,"selective sampling using the query by committee algorithm,",,,,,1995,,,,july,617
0,565,haussler1994,"d. haussler, m. kearns, h.s. seung and n. tishby,",,"rigorous learning curve bounds from statistical mechanics',",,"in proceedings of the seventh workshop on computational learning theory',",,"acm press,",1994,,,,,430,freund1997c,"yoav freund, h. sebastian seung, eli shamir, naftali tishby,",,"selective sampling using the query by committee algorithm,",,,,,1995,,,,july,618
0,591,helmbold1995,david p. helmhold and robert e. schapire.,,predicting nearly as well as the best pruning of a decision tree.,,"in proceedings of the 8th annual conference on computational learning theory,","new york, ny, 1995.",acm press.,,"pages 61-68,",,,,430,freund1997c,"yoav freund, h. sebastian seung, eli shamir, naftali tishby,",,"selective sampling using the query by committee algorithm,",,,,,1995,,,,july,619
0,325,freund1995f,"y. freund, m. kearns, y. mansour, d. ron, r. rubinfeld, and r. schapire.",,efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,"in proceedings of the thirty seventh annual symposium on foundations of computer science,",,,1996,"pages 332-341,",,,,1034,kearns1996a,"kearns, m. j.",,"a bound on the error of cross validation using the approximation and estimation rates, with consequences for the training-test split.",,"in advances in neural information processing systems 8,",,morgan kaufmann.,(1996).,pages 183-189.,,,,620
0,1256,schapire1995,"schapire, r.e., and y. freund,",,a decision theoretic generalization of on-line learning and its application to boosting'.,,"in eurocolt '95,pp.",,"springer verlag,",1995,"23-27,",,,,1034,kearns1996a,"kearns, m. j.",,"a bound on the error of cross validation using the approximation and estimation rates, with consequences for the training-test split.",,"in advances in neural information processing systems 8,",,morgan kaufmann.,(1996).,pages 183-189.,,,,621
0,1292,schapire1998mm,robert e. schapire and yoram singer. boostexter:,,a system for multiclass multi-label text categorization.,,"unpublished manuscript,",,,1998,,,,,1034,kearns1996a,"kearns, m. j.",,"a bound on the error of cross validation using the approximation and estimation rates, with consequences for the training-test split.",,"in advances in neural information processing systems 8,",,morgan kaufmann.,(1996).,pages 183-189.,,,,622
0,547,haussler1992,"haussler, d., kearns, m. and schapire, r.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,"ucsc-crl-91-44, university of california at santa cruz.",,,,(1992).,,,,,1034,kearns1996a,"kearns, m. j.",,"a bound on the error of cross validation using the approximation and estimation rates, with consequences for the training-test split.",,"in advances in neural information processing systems 8,",,morgan kaufmann.,(1996).,pages 183-189.,,,,623
0,1144,rivest1993,ronald l. rivest and robert e. schapire.,103(2),inference of finite automata using homing sequences.,,"information and computation,",,,1993,"299-347,",,,april,1034,kearns1996a,"kearns, m. j.",,"a bound on the error of cross validation using the approximation and estimation rates, with consequences for the training-test split.",,"in advances in neural information processing systems 8,",,morgan kaufmann.,(1996).,pages 183-189.,,,,624
0,236,freund1992c,"freund, y & haussler,",,d (1992). unsupervised learning of distributions on binary vectors using two layer networks.,,"advances in neural information processing systems 4,",,,,912-919.,,,,1034,kearns1996a,"kearns, m. j.",,"a bound on the error of cross validation using the approximation and estimation rates, with consequences for the training-test split.",,"in advances in neural information processing systems 8,",,morgan kaufmann.,(1996).,pages 183-189.,,,,625
1,325,freund1995f,"y. freund, m. kearns, y. mansour, d. ron, r. rubinfeld, and r. schapire.",,efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,"in proceedings of the thirty seventh annual symposium on foundations of computer science,",,,1996,"pages 332-341,",,,,326,freund1995f,"y. freund, m. kearns, y. mansour, d. ron, r. rubinfeld, and r. e. schapire.",,efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,"in proceedings of the thirty sixth annual symposium on foundations of computer science,",,,1995,"pages 332-341,",,,,626
0,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,1137,rivest1993,r. l. rivest and r. e. schapire.,103(2),inference of finite automata using homing sequences.,,"information and computation,",,,1993,"299-347,",,,,627
0,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,628,kautz1995,"kautz, h., kearns, m., and selman, b.","vol. 74,",horn approximations of empirical data.,,"artificial intelligence,",,,"1995,",129-145.,,,,628
0,1287,schapire1997um,"schapire, r. e.",,using output codes to boost multiclass learning problems.,at&t research.,"tech. rep.,",,,(1997).,,,,,628,kautz1995,"kautz, h., kearns, m., and selman, b.","vol. 74,",horn approximations of empirical data.,,"artificial intelligence,",,,"1995,",129-145.,,,,629
1,626,kautz1995,"kautz, h. a., kearns, m. j., & selman.","vol. 74,",b (1995) horn approximations of empirical data.,,"artificial intelligence,",,,,129-145.,,,,628,kautz1995,"kautz, h., kearns, m., and selman, b.","vol. 74,",horn approximations of empirical data.,,"artificial intelligence,",,,"1995,",129-145.,,,,630
0,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,528,haussler1994a,"david haussler, michael kearns, and rob schapire.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,,in computational learning theory: proceedings of the fourth annual workshop.,,"morgan kaufmann,",1991,,,,,631
0,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,1168,schapire1989,r. schapire.,,on the strength of weak learnability.,,"42 proceedings of the 30th i.e.e.e. symposium on the foundations of computer science,",,,"1989,",pp. 28-33.,,,,632
0,494,haussler1988,"david haussler, michael kearns, nick littlestone, and manfred k. war-muth.",,equivalence of models for polynomial learnability.,,"in proceedings of the 1988 workshop on computational learning theory,","cambridge, ma,",,1988,morgan-kaufmann.,,,august,1168,schapire1989,r. schapire.,,on the strength of weak learnability.,,"42 proceedings of the 30th i.e.e.e. symposium on the foundations of computer science,",,,"1989,",pp. 28-33.,,,,633
0,1120,rivest1992,"r. rivest,",,"the md5 message-digest algorithm,' network working group request for comments rfc 1321,",,"ietf,",,,1993,,,"h. schulzrinne expires 03/01/94 [page 56] internet-draft draft-ietf-avt-issues-01.ps october 20,",apr.,1168,schapire1989,r. schapire.,,on the strength of weak learnability.,,"42 proceedings of the 30th i.e.e.e. symposium on the foundations of computer science,",,,"1989,",pp. 28-33.,,,,634
0,779,kearns1990b,j. p. kearns and j. e. payne.,,performance evaluation of protocols for distributed systems: an alternative to message counting.,,"in proceedings of the winter simulation conference,",,,1990,"pages 441-445,",,,,1168,schapire1989,r. schapire.,,on the strength of weak learnability.,,"42 proceedings of the 30th i.e.e.e. symposium on the foundations of computer science,",,,"1989,",pp. 28-33.,,,,635
0,1257,schapire1996,r. e. schapire and l. m. sellie.,52(2),learning sparse multivariate polynomials over a field with queries and counterexamples.,,"j. of computer and system sciences,",,,1996,"201-213,",,,,1168,schapire1989,r. schapire.,,on the strength of weak learnability.,,"42 proceedings of the 30th i.e.e.e. symposium on the foundations of computer science,",,,"1989,",pp. 28-33.,,,,636
0,588,haussler1996,"d. haussler, m. kearns, h.s. seung, and n. tishby.",25,rigorous learning curve bounds from statistical mechanics.,,"machine learning,",,,1996,"195-236,",,,,1168,schapire1989,r. schapire.,,on the strength of weak learnability.,,"42 proceedings of the 30th i.e.e.e. symposium on the foundations of computer science,",,,"1989,",pp. 28-33.,,,,637
0,432,freund1997d,y. freund and y. mansour.,,learning under persistent drift.,,"proceedings of the third european conference on computational learning theory (eurocolt'97), volume 1208 of lecture notes in computer science,","berlin,","springer-verlag,",1997,pages 94-108.,"in s. ben-david, editor,",,,1168,schapire1989,r. schapire.,,on the strength of weak learnability.,,"42 proceedings of the 30th i.e.e.e. symposium on the foundations of computer science,",,,"1989,",pp. 28-33.,,,,638
0,1023,kearns1995b,"michael kearns, yishay mansour, andrew y. ng, and dana ron.",,an experimental and theoretical comparison of model selection methods.,,"in proceedings of the eighth annual conference on computational learning theory,",,,1995,,,,32,1168,schapire1989,r. schapire.,,on the strength of weak learnability.,,"42 proceedings of the 30th i.e.e.e. symposium on the foundations of computer science,",,,"1989,",pp. 28-33.,,,,639
0,474,goldman1993,"s. a. goldman, r. l. rivest, and r. e. schapire,","vol. 22, no. 5,","learning binary relations and total orders',",,"siam journal on computing,",,,1993,"pp. 1006-1034,",,,,1168,schapire1989,r. schapire.,,on the strength of weak learnability.,,"42 proceedings of the 30th i.e.e.e. symposium on the foundations of computer science,",,,"1989,",pp. 28-33.,,,,640
0,548,haussler1992,"haussler, d., kearns, m. and schapire, r.",,bounds on the sample complexity of bayesian learning using information theory and the vc dimension.,"ucsc-crl-91-44, university of california at santa cruz.",,,,(1992).,,,,,1168,schapire1989,r. schapire.,,on the strength of weak learnability.,,"42 proceedings of the 30th i.e.e.e. symposium on the foundations of computer science,",,,"1989,",pp. 28-33.,,,,641
0,177,feder1995,"m. feder, yoav freund and yishay mansour,",,"optimal universal learning and prediction of probabilistic concepts,",,,,,,,,"to appear in proc. ieee information theory conference, 1995; published by ieee. 13",,1168,schapire1989,r. schapire.,,on the strength of weak learnability.,,"42 proceedings of the 30th i.e.e.e. symposium on the foundations of computer science,",,,"1989,",pp. 28-33.,,,,642
0,231,freund1992b,"freund, y.,",,"an improved boosting algorithm and its implications on learning complexity,",,"proceedings of the 5rd annual workshop on computational learning theory,",,,1992,"pp. 391-98,",,,,1168,schapire1989,r. schapire.,,on the strength of weak learnability.,,"42 proceedings of the 30th i.e.e.e. symposium on the foundations of computer science,",,,"1989,",pp. 28-33.,,,,643
0,315,freund1995c,"freund, y. & schapire, r.e.",vol.,a decision-theoretic generalization of on-line learning and an application to boosting.,,"lecture notes in artificial intelligence,","berlin, germany:",springer-verlag.,-1995,904,"in vitanyi, p. (ed.),",,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,644
0,3,blum1993,"avrim blum, merrick furst, michael kearns, and richard j. lipton.",,cryptographic primitives based on hard learning problems.,,"proc. crypto 93,",,"springer,",1994,pages 278-291.,"in douglas r. stinson, editor,",lecture notes in computer science no. 773.,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,645
0,3,blum1993,"avrim blum, merrick furst, michael kearns, and richard j. lipton.",,cryptographic primitives based on hard learning problems.,,"proc. crypto 93,",,"springer,",1994,pages 278-291.,"in douglas r. stinson, editor,",lecture notes in computer science no. 773.,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,646
0,1256,schapire1995,"schapire, r.e., and y. freund,",,a decision theoretic generalization of on-line learning and its application to boosting'.,,"in eurocolt '95,pp.",,"springer verlag,",1995,"23-27,",,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,647
0,611,helmbold1997,d.p. helmbold and r.e. schapire.,27(1),predicting nearly as well as the best pruning of a decision tree.,,"machine learning,",,,1997,"51-68,",,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,648
0,1264,bauer1992,"eric bauer and ron kohavi wolpert, d. h.",,"`stacked generalization',",,"neural networks 5,",,,"(1992),",241-259.,,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,649
0,1286,schapire1997u,robert e. schapire.,,using output codes to boost multiclass learning problems.,,"in machine learning: proceedings of the fourteenth international conference,",,,1997,"pages 313-321,",,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,650
0,0,auer1995a,"p. auer, n. cesa-bianchi, y. freund, and r. e. schapire,",,"gambling in a rigged casino: the adversarial multi-armed bandit problem,'",,"in proc. 36th annual symposium on foundations of computer science,","los alamitos, ca:","ieee computer society press,","1995,",pp. 322-331.,,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,651
0,1,blum1993,"a. blum, m. furst, m. j. kearns, and richard j. lipton.",,cryptographic primitives based on hard learning problems.,,"in pre-proceedings of crypto '93,",,,1993,"pages 24.1-24.10,",,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,652
0,1259,schapire1996p,"schapire, r.e.",,private communication.,,,,,"(1996),",,,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,653
0,774,kearns1990,m.j. kearns.,,the computational complexity of machine learning.,,,"cambridge, ma (1990).","mit press,",,,,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,654
0,756,kearns1989a,"m. kearns, l. pitt.",,a polynomial-time algorithm for learning k-variable pattern languages from examples.,,"proceedings of the 1989 workshop on computational learning theory,",,"morgan kaufmann publishers,","1989,",pp. 57-71.,,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,655
0,619,kautz1993,"kautz, h., m. kearns, and b. selman.",,reasoning with characteristic models.,,"in proceedings of the national conference on artificial intelligence,",,,1993,pages 34-39.,,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,656
0,1017,kearns1994f,"m. kearns, y. mansour, d. ron, r. rubinfeld, r. schapire, and l. sellie.",,efficient learning of typical finite automata from random walks.,,"in proc. 26th stoc,",,"acm,",1994,pages 273-282.,,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,657
0,1248,schapire1992,robert e. schapire.,,"private correspondence,",,,,,1992,,,,january,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,658
0,681,kearns1987b,"kearns, m., li, m., pitt, l., & valiant, l. g.",,recent results on boolean concept learning.,,proceedings of the fourth international workshop on machine learning (pp.,"irvine, ca:",morgan kaufmann.,(1987).,337-352).,,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,659
0,82,cohen1998,"w. w. cohen, r. e. shapire, and y. singer.",,learning to order things.,,"in advances in neural information processing systems 10,",,,1998,,,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,660
0,411,freund1997a,y. freund and r.e. schapire.,,a decision theoretic generalization of on-line learning and an application to boosting.,,"journal of computer and system science,",,,,,,to appear. 1,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,661
0,1015,kearns1994e,"m. kearns, m. li, and l. valiant.",41(6),learning boolean formulae.,,"journal of the association for computing machinery,",,,1995,"1298-1328,",,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,662
0,907,kearns1994a,"m. kearns, y. mansour, d. ron, r. rubinfeld, r. schapire, l. sellie,",,"on the learnability of discrete distributions,",,"the 25th annual acm symposium on theory of computing,",,,1994,,,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,663
0,587,haussler1996,"david haussler, michael kearns, h. sebastian seung, and naftali tishby.",,rigorous learning curve bounds from statistical mechanics.,,"machine learning,","25:195--236,",,1996,,,,,1058,kearns1999a,michael kearns and satinder singh.,,finite-sample convergence rates for q-learning and indirect algorithms.,,in neural information processing systems 12.,,"mit press, (to appear),",1999,,,,,664
