ltable_authors,ltable_booktitle,ltable_date,ltable_editor,ltable_address,ltable_institution,ltable_journal,ltable_month,ltable_note,ltable_pages,ltable_publisher,ltable_tech,ltable_title,ltable_category,ltable_volume,ltable_year,rtable_authors,rtable_booktitle,rtable_date,rtable_editor,rtable_address,rtable_institution,rtable_journal,rtable_month,rtable_note,rtable_pages,rtable_publisher,rtable_tech,rtable_title,rtable_category,rtable_volume,rtable_year,alteredAttributes,originalRightId
"D.W. Aha, D. Kibler, and M.K. Albert:",,,,,,"Machine Learning,",,,"37-66,",,,"Instance-based learning algorithms,",,"6,",1991.,"Brodley, C. E., Utgoff, P. E.",,,,,,"In Machine Learning,",,,45-77.,,,Instance-based learning algorithms.,,"19,",(1995).,"('title',)",0@1187
"D.W. Aha, D. Kibler, and M.K. Albert.",,,,,,"Machine Learning,",,,,,,Instance-based learning algorithms.,,"6,",1991.,"Brodley, C. E., Utgoff, P. E.",,,,,,"In Machine Learning,",,,45-77.,,,Instance-based learning algorithms.,,"19,",(1995).,"('title',)",0@1187
"David W. Aha, Dennis Kibler, and Mark K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Brodley, C. E., Utgoff, P. E.",,,,,,"In Machine Learning,",,,45-77.,,,Instance-based learning algorithms.,,"19,",(1995).,"('title',)",0@1187
"D.W. Aha, D. Kibler, and M.K. Albert:",,,,,,"Machine Learning,",,,"37-66,",,,"Instance-based learning algorithms,",,"6,",1991.,"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,"Instance-based learning algorithms,",,"9,",(1992).,"('title',)",0@811
"D. W. Aha, D. Kibler, and J. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6(1),1991.,"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,Instance-based learning algorithms.,,"9 (1),",(1992).,"('title',)",1@814
"Fahlman, S. E.",,(1988).,,"Pittsburgh, PA.","School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-88-162,",An empirical study of learning speed in back-propagation networks.,,,,"Brodley, C. E., & Utgoff, P. E.",,,,,"Dept. of Computer Science, University of Massachusetts at Amherst.",,,,,,,"An empirical study of learning speed in back-propagation networks,","Tech. rep. COINS CR 92-8,",,(1992).,"('title',)",1@1135
"Hampson, S. and Kibler, D.","DIMACS Challenge on Satisfiability Testing,",,,,,,,,,,,Plateaus and plateau search in Boolean satisfiability problems: When to give up searching and start again.,,,1993.,"Ruby, D., & Kibler, D.","Proceedings, Ninth National Conference on Artificial Intelligence.",,,"San Mateo, CA:",,,,,,AAAI Press.,,Plateaus and plateau search in boolean satisfiability problems: When to give up searching and start again.,,,(1991).,"('title',)",0@1119
"Utgoff, Paul E.",Machine Learning. An Artificial Intelligence Approach.,,"In Michalski, Ryszard S., Carbonell, Jaime G., and Mitchell, Tom M., editors,","Los Altos, CA,",,,,,pages 107-148.,"Morgan Kaufmann,",,Shift of bias for inductive concept learning.,,"Volume II,",1986.,"Mitchell, T., Utgoff, P., & Banerji, R.","Machine learning: An artificial intelligence approach,",,"In Michalski, R., & et al. (Eds.),",,,,,,,Morgan Kaufmann.,,"Shift of Bias for Inductive Learning,,",,Vol.1.,(1983).,"('title',)",1@1380
"Utgoff, Paul E.",Machine Learning. An Artificial Intelligence Approach.,,"In Michalski, Ryszard S., Carbonell, Jaime G., and Mitchell, Tom M., editors,","Los Altos, CA,",,,,,pages 107-148.,"Morgan Kaufmann,",,Shift of bias for inductive concept learning.,,"Volume II,",1986.,P. E. Utgoff.,,,,,,"Connection Science,",,,"377-391,",,,Shift of bias for inductive concept learning.,,1(4),1989.,"('title',)",1@1725
"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,The utility of knowledge in inductive learning.,,"9 (1),",(1992).,"Fahlman, S.E. and Lebiere C.","In Advances in Neural Information Processing Systems II (Denver 1989),","(1990),","ed. D.S. Touretzky,",San Mateo:,,,,,524-532.,Morgan Kaufmann.,,The utility of knowledge in inductive learning.,,,,"('title',)",0@391
M. Pazzani and D. Kibler.,,,,,,"Machine Learning,",,,"57-94,",,,The utility of background knowledge in inductive learning.,,9,1992.,Bruce Porter and Dennus Kibler.,,,,,,"Machine Learning,",,,"249-286,",,,The role of prior knowledge in inductive learning.,,1,1986.,"('title',)",1@1112
Micheal J. Pazzani and Dennis Kibler.,,,,,,"Machine Learning,",,,"54-97,",,,The role of prior knowledge in inductive learning.,,9,1992.,"Nilsson, N. J.",,,,,,"Journal of Artificial Intelligence Research 1,",,,139 - 158.,,,"The Utility of Knowledge in Inductive Learning,",,,"(1994),","('title',)",1@789
"S. Fahlmann, C. Lebiere,",Advances in Neural Information Processing,,,"Los Altos, CA.",,,,,"pp 524-532,",Morgan Kaufmann Publishers:,,"The Cascade-Correlation Learning Architecture,",,"2,",,"Fahlman, S.E.,",,1979.,,"Cambridge, MA,",,,,,,"MIT Press,",,The cascade-correlation learning architecture. In D.S.,,,,"('title',)",1@92
"Kibler, D., & Langley, P.",Proceedings of the Third European Working Session on Learning,,,Glasgow:  Pittman.,,,,,(pp. 81-92).,,,Machine learning as an experimental science.,,,(1988).,"J.S. Conery, D.F. Kibler,","in Proceedings ACM Symposium on Functional Programming and Computer Architecture,",,,,,,,,,,,Machine Learning as an Experimental Science.,,,1981.,"('title',)",1@707
"Kibler, D. & Langley, P.",Proceedings of the Third European Session on Machine Learning.,,,"London, UK:",,,,,,Pitman.,,Machine Learning as an Experimental Science.,,,(1988).,S. E.,"in Proceedings of the 1988 Connectionist Summer School,",,,,,,,,,Morgan Kauf-mann.,,Machine learning as an experimental science.,,,,"('title',)",0@142
"Kibler, D., & Langley, P.",In Proceedings of the Third European Working Session on Learning,,,"Glasgow, Scotland:",,,,,(pp. 81-92).,Pitman.,,Machine learning as an experimental science.,,,(1988).,"J.S. Conery, D.F. Kibler,","in Proceedings ACM Symposium on Functional Programming and Computer Architecture,",,,,,,,,,,,Machine Learning as an Experimental Science.,,,1981.,"('title',)",1@707
"Kibler, D., & Langley, P.",Proceedings of the Third European Working Session on Learning,,,Glasgow:  Pittman.,,,,,(pp. 81-92).,,,Machine learning as an experimental science.,,,(1988).,"J.S. Conery, D.F. Kibler,","in Proceedings ACM Symposium on Functional Programming and Computer Architecture,",,,,,,,,,,,Machine Learning as an Experimental Science.,,,1981.,"('title',)",1@707
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,The Cascade Correlation Learning Architecture.,,6,1991.,"('title',)",0@967
"S. E. Fahlman,",,1988.,,,"CMU-CS-TR-88-162, Carnegie Mellon University,",,,,,,"Technical Report,","An Empirical Study of Learning Speed in Back-Propagation Networks,",,,,Fahlman S. and Lebiere C.,Advances in Neural Information Processing Systems,(1990).,"In D. Touretzky (Ed),",,,,,,,Morgan Kaufmann.,,An empirical study of learning speed in back-propagation networks.,,"volume2,",,"('title',)",1@314
"Fahlman, Scott E.,",,1988.,,"Pittsburgh, PA,","Carnegie Mellon University, Computer Science Department",,,,,,,"An Empirical Study of Learnin g Speed in BackPropagation Networks,Technical Report CMU-CS-88-162,",,,,Fahlman S. and Lebiere C.,Advances in Neural Information Processing Systems,(1990).,"In D. Touretzky (Ed),",,,,,,,Morgan Kaufmann.,,An empirical study of learning speed in back-propagation networks.,,"volume2,",,"('title',)",1@314
"Fahlman, Scott.",,1988.,,,"Department of Computer Science, Carnegie Mellon University.",,,,,,"Technical Report CMU-CS-88-162,",An empirical study of learning speed in back-propagation networks.,,,,Fahlman S. and Lebiere C.,Advances in Neural Information Processing Systems,(1990).,"In D. Touretzky (Ed),",,,,,,,Morgan Kaufmann.,,An empirical study of learning speed in back-propagation networks.,,"volume2,",,"('title',)",1@314
"Fahlman, S.:",,1988.,,"Pittsburgh, PA,","Carnegie Mellon University,",,,,,,"CMU-CS-88-162,","An Empirical Study of Learning Speed in Back-Propagation Networks,",,,,Fahlman S. and Lebiere C.,Advances in Neural Information Processing Systems,(1990).,"In D. Touretzky (Ed),",,,,,,,Morgan Kaufmann.,,An empirical study of learning speed in back-propagation networks.,,"volume2,",,"('title',)",1@314
Paul E. Utgoff.,,,,,,"Connection Science,",,,"377-391,",,,Perceptron trees: A case study in hybrid concept representations.,,1(4),1989.,"Utgoff, P.","Machine Learning: An AI Approach,",,"Eds) in Michalski R., Carbonell J. & Mitchell T.(","Los Altos, CA:",,,,,pp.107-148.,"Morgan Kaufmann),",,Perceptron trees: A case study in hybrid concept representation.,,Vol. II.,(1985).,"('title',)",0@1531
Paul E. Utgoff.,,,,,,"Connection Science,",,,"377-391,",,,Perceptron trees: A case study in hybrid concept representations.,,1(4),1989.,"Utgoff, P.","Machine Learning: An AI Approach,",,"Eds) in Michalski R., Carbonell J. & Mitchell T.(","Los Altos, CA:",,,,,pp.107-148.,"Morgan Kaufmann),",,Perceptron trees: A case study in hybrid concept representation.,,Vol. II.,(1985).,"('title',)",0@1531
Paul E. Utgoff.,,,,,,"Connection Science,",,,"377-391,",,,Perceptron trees: A case study in hybrid concept representations.,,1(4),1989.,"Utgoff, P.","Machine Learning: An AI Approach,",,"Eds) in Michalski R., Carbonell J. & Mitchell T.(","Los Altos, CA:",,,,,pp.107-148.,"Morgan Kaufmann),",,Perceptron trees: A case study in hybrid concept representation.,,Vol. II.,(1985).,"('title',)",0@1531
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,Instance-based learning algorithms.,,"9,",(1992).,"('title',)",1@833
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6,1991.,"Pazzani, M. and Kibler, D.",,,,,,"Machine Learning,",,,"57-94,",,,Instance-based learning algorithms.,,9(1):,1992.,"('title',)",1@1106
"Mitchell, T., Utgoff, P., and Banerji, R.","An Artificial Intelligence Approach, chapter 6,",,,,,,,,pp. 163-190.,Springer-Verlag.,,Learning by experimentation: Acquiring and refining problem-solving heuristics. In Machine Learning:,,,(1984).,Carla E. Brodley and Paul E. Utgoff.,,,,,,"Machine Learning,",,,"45-77,",,,Learning problem solving heuristics by experimentation.,,19,1995.,"('title',)",0@1171
"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,The utility of knowledge in inductive learning .,,"9,",(1992).,"Weiss, Y., Edelman, S., and Fahle, M.",,(1993).,,,,"Neural Computation,",,,695-718.,,,The role of prior knowledge in inductive learning.,,5,,"('title',)",0@523
"Pazzani, M. J. and Kibler, D.",,,,,,"Ma chine Learning,",,,pp. 54-97.,,,The role of prior knowledge in inductive learning.,,"vol.9 (1992),",,Carla E. Brodley and Paul E. Utgoff.,,,,,,"Machine Learning,",,,"45-77,",,,The utility of knowledge in inductive learning .,,19,1995.,"('title',)",1@1204
"Pazzani, M. & Kibler, D.",,,,"Boston, MA:",,Machine Learning,,,1.,Kluwer Academic Publishers.,,The utility of knowledge in inductive learning.,,v. 9,(1992).,"Weiss, Y., Edelman, S., and Fahle, M.",,(1993).,,,,"Neural Computation,",,,695-718.,,,The role of prior knowledge in inductive learning.,,5,,"('title',)",0@523
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6(1),1991.,"Hampson, D., & Kibler, S.","DIMACS Series in Discrete Mathematics and Theoretical Computer Science: Cliques, Colors and Satisfiability,",,"In Johnson, D., & Trick, M. (Eds.),",,,,,,pp. 437-456.,American Mathematical Society.,,Instance-based learning algorithms.,,"vol.26,",(1995).,"('title',)",1@727
"David W. Aha, Dennis Kibler, and Marc K. Albert.",,,,,,"Machine Learning,",,,,,,Instance-based learning algorithms.,,"6(1),",1991.,"Fahlman, S. E.,",,1979.,,,,,,,,Cambridge: MIT Press.,,Instance-based learning algorithms.,,,,"('title',)",1@67
"Fahlman, S.E.",In Proceedings of the 1988 Connectionist Models Summer School.,1988.,,,,,,,,Morgan-Kaufmann.,,An Empirical Study of Learning Speed in Back-Propagation Networks.,,,,"Utgoff, P.","Machine Learning: An Artificial Intelligence Approach,",,"In Michalski, R. S., Carbonell, J. G., & Mitchell, T. M. (Eds.),",,,,,,pp. 107-148.,Morgan Kaufman.,,An Empirical Study of Learning Speed in Back-Propagation Networks.,,"Vol. II,",(1986).,"('title',)",0@1532
"Pazzani, M., and Kibler, D.",,,,,,Machine Learning,,,57-94.,,,The utility of background knowledge in inductive learning.,,9,1992.,"J. S. Conery, D. F. Kibler,","Proc. ACM Symp. Functional Programming and Computer Architecture,",,,,,,f14g,,,,,"The Utility of Knowledge in Inductive Learning,",,,1981.,"('title',)",1@708
Pazzani M. and Kibler D.,,,,,,"Machine Learning,",,,57-94.,,,The utility of knowledge in inductive learning.,,"9, 1,",(1991).,"Utgoff, P. E., & Brodley, C. E.",,,,University of Massachusetts at Amherst.,,,,,,,,The utility of background knowledge in inductive learning.,"Tech. rep. 10,",,(1991).,"('title',)",0@1798
C. E. Brodley and P. E. Utgoff.,,,,,,"Machine Learning,",,,"45-77,",,,Multivariate decision trees.,,19(1),1995.,"Utgoff, P. E.",,,,,,"Machine Learning,",,,161-186.,,,Multivariate decision trees.,,"4,",(1989).,"('title',)",1@1646
"Pazzani, M. and D. Kibler,",,,,,,"Machine Learning,",,,"57-94,",,,"The Utility of Knowledge in Inductive Learning,",,9,1992.,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,(1994).,,,,"J Appl. Phys.,",,,"893,",,,The utility of background knowledge in inductive learning.,,"76,",,"('title',)",1@4
"Aha, D. W., Kibler, D., & Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"6,",(1991).,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,(1994).,,,,"J Appl. Phys.,",,,"893,",,,"Instance-based learning algorithms,",,"76,",,"('title',)",0@7
"Aha, D. W., Kibler, D., & Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"6,",(1991).,"M. Ahlskog, J. Paloheimo, H. Stubb, P. Dyreklev, M. Fahlman, O. Inganas and M.R. Andersson,",,(1994).,,,,"J Appl. Phys.,",,,"893,",,,"Instance-based learning algorithms,",,"76,",,"('title',)",0@7
"Fahlman, S. & Lebiere, C.",Advances in Neural Information Processing Systems (volume 2).,(1989).,"In Touretzky, D., editor,","San Ma-teo, CA.",,,,,,"Morgan Kaufmann,",,The cascade-correlation learning architecture.,,,,"Fahle, M., Edelman, S., & Poggio, T.",,,,,,"Vision Research,",,,3003-3013.,,,The cascade-correlation learning architecture.,,"35,",,"('title',)",1@46
"Aha, D. W., Kibler, D., & Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"6,",(1991).,"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,Instance-based learning algorithms.,,"9,",(1992).,"('title',)",0@825
"Aha, D. W., Kibler, D., and Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,6(1),(1991).,"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,Instance-based learning algorithms.,,"9,",(1992).,"('title',)",0@825
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6(1),1991.,"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,Instance-based learning algorithms.,,"9,",(1992).,"('title',)",0@825
"Aha, D., Kibler, D., and Albert, M.",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,6:,(1991),"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,Instance-based learning algorithms.,,"9,",(1992).,"('title',)",0@825
"Aha, D. W., Kibler, D., Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,"Instance-Based Learning Methods,",,"6,",(1991),"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,Instance-based learning algorithms.,,"9,",(1992).,"('title',)",0@825
"Aha, David W., Kibler, Dennis, & Albert, Marc K.",,,,,,"Machine Learning,",,,37-66.,,,Instance-Based Learning Algorithms.,,"6(1),",1991.,"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,Instance-based learning algorithms.,,"9,",(1992).,"('title',)",0@825
"Aha, D., Kibler, D., and Albert, M.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-Based Learning Algorithms.,,6(1),1991.,"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,Instance-based learning algorithms.,,"9,",(1992).,"('title',)",0@825
"D. W. Aha, D. Kibler, and M. K. Albert.",,,,,,"Machine Learning,",,,"37-66,",,,Instance-based learning algorithms.,,6(1),1991.,"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,Instance-based learning algorithms.,,"9,",(1992).,"('title',)",0@825
S.E. Fahlman and C. Lebiere.,"Advances in Neural Information Processing Systems,",1990.,"In D. Touretzky, editor,","San Mateo,",,,,,"pages 524-532,",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,"volume 2,",,"Fahlman, S. E.",Advances in Neural Information Processing Systems,(1991).,"In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors,","San Mateo, CA:",,,,,190-205.,Morgan Kaufmann.,,The cascade-correlation learning architecture.,,"3,",,"('title',)",0@396
"Fahlman, S., & Lebiere, C.","Advances in Neural Information Processing Systems,",(1989).,"In Touret-zky, D. (Ed.),","San Mateo, CA.",,,,,"pp. 524-532,",Morgan Kaufmann.,,The cascade-correlation learning architecture.,,"Vol. 2,",,"Fahlman, S. E.",Advances in Neural Information Processing Systems,(1991).,"In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors,","San Mateo, CA:",,,,,190-205.,Morgan Kaufmann.,,The cascade-correlation learning architecture.,,"3,",,"('title',)",0@396
"M. Pazzani and D. Kibler,",,,,,,"Machine Learning,",,,pp. 57-94.,,,"The utility of knowledge in inductive learning,",,"vol.9,","1991,","Aha, D. W., D. Kibler, & Albert M. K.",,,,,,Machine Learning,,,37-66.,,,The utility of background knowledge in inductive learning.,,"6 (1),",(1991).,"('title',)",0@700
Pazzani M. and Kibler D.,,,,,,"Machine Learning,",,,57-94.,,,The utility of knowledge in inductive learning.,,"9, 1,",(1991).,"Aha, D.W., Kibler, D., and Albert,",,,,,,"Machine Learning,",,,37-66.,,,The utility of knowledge in inductive learning.,,"6,","1991,","('title',)",0@675
"Pazzani, M. & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,The utility of knowledge in inductive learning.,,9(1),(1992).,"Aha, D.W., Kibler, D., and Albert,",,,,,,"Machine Learning,",,,37-66.,,,The utility of knowledge in inductive learning.,,"6,","1991,","('title',)",0@675
"Pazzani, M., & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,The utility of prior knowledge in inductive learning.,,"9,",(1992).,"Aha, D.W., Kibler, D., and Albert,",,,,,,"Machine Learning,",,,37-66.,,,The utility of knowledge in inductive learning.,,"6,","1991,","('title',)",0@675
"Pazzani, M. & Kibler, D.",,,,,,"Machine Learning,",,,57-94.,,,The utility of knowledge in inductive learning.,,9,(1992).,Carla E. Brodley and Paul E. Utgoff.,,,,,,"Machine Learning,",,,"45-77,",,,The utility of knowledge in inductive learning .,,19,1995.,"('title',)",1@1204
"Pazzani, M. and Kibler, D.,",,,,,,"Machine Learning,",,,,,,"The Utility of Knowledge in Inductive Learning,",,9(1),1992.,"B. Draper, C. E. Brodley, and P. Utgoff.",,,,,,"IEEE Trans. on Pattern Analysis and Machine Intelligence,",,,,,,The utility of knowledge in inductive learning.,,,1994.,"('title',)",1@1168
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('date',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('address',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,",,,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('institution',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('journal',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('month',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,,The Cascade-Correlation learning architecture.,,,,"('tech',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,","The cascade-correlation learning architecture,",,,,"('title',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('category',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('year',)",0@241
S. Fahlman and C. Lebiere.,Advances in Neural Information Processing Systems,1990.,"In D. Touretzky, editor,",,,,,,,"Morgan Kaufmann,",,The Cascade-Correlation learning architecture.,,volume2.,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,",,,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('institution',)",0@241
S. Fahlman and C. Lebiere.,Advances in Neural Information Processing Systems,1990.,"In D. Touretzky, editor,",,,,,,,"Morgan Kaufmann,",,The Cascade-Correlation learning architecture.,,volume2.,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,,The Cascade-Correlation learning architecture.,,,,"('tech',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('date',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,,"School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('address',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,",,,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('institution',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('journal',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('month',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,,The Cascade-Correlation learning architecture.,,,,"('tech',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,","The cascade-correlation learning architecture,",,,,"('title',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('category',)",0@241
"Fahlman, S. and Lebiere C.",,(1991).,,,,,,,,,,The Cascade Correlation Learning Architecture.,,,,Scott E. Fahlman and Christian Lebiere.,,1990.,,"Pittsburgh, PA,","School of Computer Science, Carnegie Mellon University,",,,,,,"Technical Report CMU-CS-90-100,",The Cascade-Correlation learning architecture.,,,,"('year',)",0@241
"Fahlman, S.E. and Lebiere C.","In Advances in Neural Information Processing Systems II (Denver 1989),","(1990),","ed. D.S. Touretzky,",San Mateo:,,,,,524-532.,Morgan Kaufmann.,,The Cascade-Correlation Learning Architecture.,,,,S.E. Fahlman.,,1979.,,"Cambridge, MA, U.S.A.,",,,,,,"MIT Press,",,The cascade correlation learning algorithm.,,,,"('title',)",1@96
"Aha, D. W., Kibler, D., & Albert, M. K.",,,,,,"Machine Learning,",,,37-66.,,,Instance-based learning algorithms.,,"6 ,",(1991).,D. Kibler and D. W. Aha.,,,,,,"Computational Intelligence,",,,"51-57,",,,Instance-based learning algorithms.,,5(2),1989.,"('title',)",0@1031
"Utgoff, P.","In Machine Learning,",,,"Los Altos, CA.",,,,,,"Morgan Kaufmann,",,Shift of bias for inductive concept learning.,,volume 2.,(1986).,"Fahlman, S. E.",Advances in Neural Information Processing Systems,(1991).,"In Lippmann, R. P., Moody, J. E., and Touretzky, D. S., editors,","San Mateo, CA:",,,,,pages 190-196.,Morgan Kaufmann.,,Shift of bias of inductive concept learning.,,"3,",,"('title',)",0@402
