ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,id
Barrel Aged Imperial Red Ale,Boone Valley Brewing,American Amber / Red Ale,9.99 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,447
Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,448
Imperial Moustache Red Ale,Salty Nut Brewery,American Amber / Red Ale,6.00 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,449
Red 88 Imperial Amber Ale,River City Brewing Co. .,American Amber / Red Ale,8.00 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,450
Imperial Red Ale ( Spring Seasonal ),Edge Brewing Company,American Amber / Red Ale,8.50 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,451
Deputation Imperial Red Ale,Brannon 's Pub and Brewery,American Amber / Red Ale,8.00 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,452
Ulysses Imperial Red Ale,Barley 's Brewing Company,American Amber / Red Ale,-,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,453
Sledgehammer Imperial Red Ale,Cambridge Brewing Company,American Amber / Red Ale,7.75 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,454
Roundabout Imperial Red Ale,Bonfire Brewing Co. .,American Amber / Red Ale,8.80 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,455
Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,456
Double Mongrel Imperial India Red Ale,Aspetuck Brew Lab,American Amber / Red Ale,9.00 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,457
Starlord 's Mixtape / Groot Drank Imperial Red Ale,Charging Hippo Brewing Co. .,American Amber / Red Ale,8.20 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,458
Commander Clifford _ ™ s Imperial Red Ale,The Wrecking Bar Brewpub,American Amber / Red Ale,9.00 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,459
Spotlight Series - Team Miller / Tomei REDiculous Imperial Red Ale,Stone Brewing Co. .,American Amber / Red Ale,9.70 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,460
Photobomb Imperial Red Ale,Crooked Ladder Brewing Company,American Amber / Red Ale,8.50 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,461
Democratic Imperial Red Ale,BrewDog,American Amber / Red Ale,9.00 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,462
Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Yukon You Only Live Once Imperial Red Ale,Yukon Brewing Company,Amber Ale,7.50 %,463
Lagunitas Imperial Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,7.80 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,464
Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,465
Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),Sierra Nevada Brewing Co. .,American Amber / Red Ale,8.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,466
Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,467
Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.60 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,468
Imperial Red Ale,Epic Brewing Company,American Amber / Red Ale,7.70 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,469
6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Amber / Red Ale,8.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,470
Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,471
Elector Imperial Red Ale,New Albanian Brewing Company - Pizzeria and Public House,American Amber / Red Ale,7.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,472
Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,473
Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,7.50 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,474
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,475
Starfish Imperial Red Ale,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,7.50 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,476
Eruption Imperial Red Ale,Worthy Brewing Co. .,American Amber / Red Ale,8.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,477
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,478
West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),West Sixth Brewing Company,American Amber / Red Ale,13.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,479
Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,480
Red Dread Imperial Red Ale,Bitter Root Brewing,American Amber / Red Ale,8.24 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,481
Rhino Chaser Imperial Red Ale,Pizza Port Solana Beach,American Amber / Red Ale,9.50 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,482
BJ 's Imperial Red Ale,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,9.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,483
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,484
Saint Gleason Imperial Red Ale,Abita Brewing Co. .,American Amber / Red Ale,-,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,485
Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,486
Exxpedition Imperial Red Ale,Drake 's Brewing Co. .,American Amber / Red Ale,8.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,487
Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Co. .,American Amber / Red Ale,8.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,488
Brewmaster 's Reserve Imperial Red Ale,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,9.20 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,489
Red Dragon Imperial Red Ale,Dead Frog Brewing,American Amber / Red Ale,8.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,490
Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Amber / Red Ale,8.60 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,491
Arthur 's Imperial Red Ale,Otto 's Pub and Brewery,American Amber / Red Ale,6.90 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,492
Red 's Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,American Amber / Red Ale,8.30 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,493
Batch 200 _ `` Olympus Mons Imperial Red Ale,Due South Brewing Co. .,American Amber / Red Ale,9.20 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,494
Stupiphany Imperial Red Ale,Rusty Truck Brewing Company / Roadhouse 101,American Amber / Red Ale,8.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,495
Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,496
Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,4.56 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,497
C N Red Imperial Red Ale,Redwood Lodge,American Amber / Red Ale,8.10 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,498
Channary Imperial Red Ale,Narrows Brewing Co. .,American Amber / Red Ale,9.40 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,499
Red Dirt Imperial Red Ale,Wiley Roots Brewing Co,American Amber / Red Ale,8.20 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,500
Arsenal Imperial Red Ale,Great River Brewery,American Amber / Red Ale,9.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,501
Tst Brw 01 - Imperial Red Ale,Brouwerij De Koninck NV,American Amber / Red Ale,7.80 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,502
Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,-,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,503
Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,504
Barrel Aged Imperial Red Ale,Boone Valley Brewing,American Amber / Red Ale,9.99 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,505
Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,506
Imperial Moustache Red Ale,Salty Nut Brewery,American Amber / Red Ale,6.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,507
Red 88 Imperial Amber Ale,River City Brewing Co. .,American Amber / Red Ale,8.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,508
Imperial Red Ale ( Spring Seasonal ),Edge Brewing Company,American Amber / Red Ale,8.50 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,509
Deputation Imperial Red Ale,Brannon 's Pub and Brewery,American Amber / Red Ale,8.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,510
Ulysses Imperial Red Ale,Barley 's Brewing Company,American Amber / Red Ale,-,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,511
Sledgehammer Imperial Red Ale,Cambridge Brewing Company,American Amber / Red Ale,7.75 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,512
Roundabout Imperial Red Ale,Bonfire Brewing Co. .,American Amber / Red Ale,8.80 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,513
Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,514
Double Mongrel Imperial India Red Ale,Aspetuck Brew Lab,American Amber / Red Ale,9.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,515
Starlord 's Mixtape / Groot Drank Imperial Red Ale,Charging Hippo Brewing Co. .,American Amber / Red Ale,8.20 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,516
Commander Clifford _ ™ s Imperial Red Ale,The Wrecking Bar Brewpub,American Amber / Red Ale,9.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,517
Spotlight Series - Team Miller / Tomei REDiculous Imperial Red Ale,Stone Brewing Co. .,American Amber / Red Ale,9.70 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,518
Photobomb Imperial Red Ale,Crooked Ladder Brewing Company,American Amber / Red Ale,8.50 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,519
Democratic Imperial Red Ale,BrewDog,American Amber / Red Ale,9.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,520
Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Knee Deep McCarthy_s Bane Imperial Red Ale,Knee Deep Brewing Company,American Strong Ale,8 %,521
Lagunitas Imperial Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,7.80 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,522
Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,523
Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),Sierra Nevada Brewing Co. .,American Amber / Red Ale,8.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,524
Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,525
Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.60 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,526
Imperial Red Ale,Epic Brewing Company,American Amber / Red Ale,7.70 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,527
6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Amber / Red Ale,8.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,528
Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,529
Elector Imperial Red Ale,New Albanian Brewing Company - Pizzeria and Public House,American Amber / Red Ale,7.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,530
Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,531
Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,7.50 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,532
Climax Noel - Imperial Red Ale,Eel River Brewing Co. .,American Amber / Red Ale,9.20 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,533
Starfish Imperial Red Ale,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,7.50 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,534
Eruption Imperial Red Ale,Worthy Brewing Co. .,American Amber / Red Ale,8.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,535
Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,536
West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),West Sixth Brewing Company,American Amber / Red Ale,13.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,537
Double Dragon Imperial Red Ale,Phillips Brewing Company,American Amber / Red Ale,8.20 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,538
Red Dread Imperial Red Ale,Bitter Root Brewing,American Amber / Red Ale,8.24 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,539
Rhino Chaser Imperial Red Ale,Pizza Port Solana Beach,American Amber / Red Ale,9.50 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,540
BJ 's Imperial Red Ale,BJ 's Restaurant & Brewhouse,American Amber / Red Ale,9.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,541
Redeemer Imperial Red Ale,Boston Beer Works - Canal Street,American Amber / Red Ale,8.20 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,542
Saint Gleason Imperial Red Ale,Abita Brewing Co. .,American Amber / Red Ale,-,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,543
Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,544
Exxpedition Imperial Red Ale,Drake 's Brewing Co. .,American Amber / Red Ale,8.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,545
Naughty Redhead Imperial Red Ale,Sick N Twisted Brewing Co. .,American Amber / Red Ale,8.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,546
Brewmaster 's Reserve Imperial Red Ale,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,9.20 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,547
Red Dragon Imperial Red Ale,Dead Frog Brewing,American Amber / Red Ale,8.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,548
Deranger Imperial Red Ale,Laurelwood Public House & Brewery,American Amber / Red Ale,8.60 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,549
Arthur 's Imperial Red Ale,Otto 's Pub and Brewery,American Amber / Red Ale,6.90 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,550
Red 's Heaven 15th Anniversary Imperial Red Ale,Flying Bison Brewing Company,American Amber / Red Ale,8.30 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,551
Batch 200 _ `` Olympus Mons Imperial Red Ale,Due South Brewing Co. .,American Amber / Red Ale,9.20 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,552
Stupiphany Imperial Red Ale,Rusty Truck Brewing Company / Roadhouse 101,American Amber / Red Ale,8.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,553
Red Hopper ( Imperial Red Ale ),Black Acre Brewing Co. .,American Amber / Red Ale,6.20 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,554
Merry Prankster Imperial Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,4.56 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,555
C N Red Imperial Red Ale,Redwood Lodge,American Amber / Red Ale,8.10 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,556
Channary Imperial Red Ale,Narrows Brewing Co. .,American Amber / Red Ale,9.40 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,557
Red Dirt Imperial Red Ale,Wiley Roots Brewing Co,American Amber / Red Ale,8.20 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,558
Arsenal Imperial Red Ale,Great River Brewery,American Amber / Red Ale,9.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,559
Tst Brw 01 - Imperial Red Ale,Brouwerij De Koninck NV,American Amber / Red Ale,7.80 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,560
Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,-,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,561
Mountain Series : Love Rhino ( Imperial Red Ale ),Breckenridge Brewery,American Amber / Red Ale,8.90 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,562
Barrel Aged Imperial Red Ale,Boone Valley Brewing,American Amber / Red Ale,9.99 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,563
Ale Mania Imperial Red Ale,Ale-Mania,American Amber / Red Ale,9.50 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,564
Imperial Moustache Red Ale,Salty Nut Brewery,American Amber / Red Ale,6.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,565
Red 88 Imperial Amber Ale,River City Brewing Co. .,American Amber / Red Ale,8.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,566
Imperial Red Ale ( Spring Seasonal ),Edge Brewing Company,American Amber / Red Ale,8.50 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,567
Deputation Imperial Red Ale,Brannon 's Pub and Brewery,American Amber / Red Ale,8.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,568
Ulysses Imperial Red Ale,Barley 's Brewing Company,American Amber / Red Ale,-,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,569
Sledgehammer Imperial Red Ale,Cambridge Brewing Company,American Amber / Red Ale,7.75 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,570
Roundabout Imperial Red Ale,Bonfire Brewing Co. .,American Amber / Red Ale,8.80 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,571
Red Shedman 's Imperial Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,572
Double Mongrel Imperial India Red Ale,Aspetuck Brew Lab,American Amber / Red Ale,9.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,573
Starlord 's Mixtape / Groot Drank Imperial Red Ale,Charging Hippo Brewing Co. .,American Amber / Red Ale,8.20 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,574
Commander Clifford _ ™ s Imperial Red Ale,The Wrecking Bar Brewpub,American Amber / Red Ale,9.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,575
Spotlight Series - Team Miller / Tomei REDiculous Imperial Red Ale,Stone Brewing Co. .,American Amber / Red Ale,9.70 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,576
Photobomb Imperial Red Ale,Crooked Ladder Brewing Company,American Amber / Red Ale,8.50 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,577
Democratic Imperial Red Ale,BrewDog,American Amber / Red Ale,9.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,578
Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Mission Carrack Imperial Red Ale,Mission Brewery,American Strong Ale,10.20 %,579
Lagunitas Imperial Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,7.80 %,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50 %,580
Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50 %,581
Red-oric - Beer Camp # 65 ( Best Of Beer Camp : Imperial Red Ale ),Sierra Nevada Brewing Co. .,American Amber / Red Ale,8.00 %,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50 %,582
Alaskan Imperial Red Ale ( Pilot Series ),Alaskan Brewing Co. .,American Amber / Red Ale,8.50 %,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50 %,583
Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.60 %,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50 %,584
Imperial Red Ale,Epic Brewing Company,American Amber / Red Ale,7.70 %,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50 %,585
6th Anniversary Ale ( Dirty Hippie Imperial Red Ale ),Kern River Brewing Company,American Amber / Red Ale,8.00 %,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50 %,586
Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.50 %,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50 %,587
Elector Imperial Red Ale,New Albanian Brewing Company - Pizzeria and Public House,American Amber / Red Ale,7.00 %,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50 %,588
Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.20 %,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50 %,589
Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,7.50 %,Oak Creek King Crimson Imperial Red Ale,Oak Creek Brewing Co. .,American Strong Ale,9.50 %,590
