ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,id
Till I Found You ( Bonus Track ),Ryan Adams,Ashes & Fire,"Alternative , Music , Rock , Adult Alternative , Country , Alternative Country , Americana , Singer/Songwriter , Contemporary Singer/Songwriter",$ 1.29,2014 PaxAmericana Recording Company,4:19,30-Sep-14,I Learned from the Best,Whitney Houston,My Love Is Your Love,"R&B , Soul , Pop",$ 0.99,( C ) 2014 Ammunition Promotions Ltd under exclusive licence to UMO,4:19,"November 16 , 1998",72
My Other Gun,Ne-Yo,R.E.D. ( Deluxe Edition ),"R&B / Soul , Music",$ 1.29,"‰ ãÑ 2012 Motown Records , a Division of UMG Recordings , Inc.",3:18,6-Nov-12,Beer,Lee Brice,Hard 2 Love,Country,$ 1.29,"Curb Records , Inc.",3:18,"April 24 , 2012",73
Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,Listen ( Deluxe Version ),"Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",3:20,24-Nov-14,Caffeinated Consciousness,TV On The Radio,Nine Types Of Light [ + Digital Booklet ],"Alternative Rock , Indie & Lo-Fi",$ 1.29,( C ) 2011 DGC Records,3:20,"April 12 , 2011",74
Who 's Gon na Take Me Home,Chris Young,Chris Young,"Country , Music , Rock , Southern Rock , Honky Tonk , Urban Cowboy , Contemporary Country",$ 0.99,2006 Sony Music Entertainment,3:02,26-Sep-06,Every Song I Sing,Chase Rice,Dirt Road Communion,Country,$ 0.99,2013 Dack Janiels Music,3:02,"March 20 , 2012",75
For Her ( Live ),Wiz Khalifa & Curren $ y,Live In Concert - EP,"Hip-Hop/Rap , Music , Rap , Dirty South , Hardcore Rap , East Coast Rap",$ 1.29,2013,4:32,20-Apr-13,Not Invented,Twin Piloda,Brother Jona,Pop,$ 0.99,2010 Margit Music,4:32,"October 13 , 2010",76
Bang Bang ( My Baby Shot Me Down ) [ Live from Jazz At Lincoln Center ] [ Bonus Track ],Lady Gaga,Cheek to Cheek ( Deluxe Version ),"Jazz , Music , Pop , Crossover Jazz , Vocal Jazz",$ 1.29,"2014 Columbia Records , a division of Sony Music Entertainment / Interscope Records , a division of UMG Recordings , Inc.",3:43,23-Sep-14,Trolley Trouble,George Fenton,"Sweet Sixteen , The Navigators , Bread and Roses",Soundtracks,$ 0.99,2010 Shogun Music,3:43,"December 30 , 2002",77
Some Day,Shinedown,Us and Them,"Rock , Music , Metal , Alternative , Hard Rock",$ 1.29,2005 Atlantic Recording Corp. . For the United States and WEA International Inc. for the world outside of the United States .,3:14,4-Oct-05,Now You 're Gone ( Fonzerelli Radio Edit ),Basshunter,Now You 're Gone ( feat . DJ Mental Theo 's Bazzheadz ),Dance & Electronic,$ 1.29,Enhanced Music Limited,3:14,"July 29 , 2013",78
Jealous ( feat . Tinash ' © ) [ Remix ],Nick Jonas,Jealous ( Remix ) [ feat . Tinash ' © ] - Single,"R&B / Soul , Music , Rock",$ 1.29,"2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",3:42,5-Nov-14,The Love in Me,Black Submarine,New Shores,"Alternative Rock , Rock",$ 0.99,2013 Black Submarine,3:42,"March 11 , 2014",79
Beats a Million Bucks,Chase Rice,Country As Me,"Country , Music , Rock",$ 0.99,2011 Artist Revolution,4:15,8-Mar-11,Buy A Heart [ feat . Meek Mill ] [ Explicit ],Nicki Minaj,The Pinkprint ( Deluxe ) [ Explicit ],Rap & Hip-Hop,$ 1.29,( C ) 2014 Cash Money Records Inc.,4:15,"December 15 , 2014",80
Nothing Would Be Better,Nick Jonas,Nick Jonas,"Pop , Music , Pop/Rock , Rock",$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",4:34,10-Nov-14,Praise Your Holy Name,Yolanda Adams,Live In Washington,"Gospel , Christian",$ 0.99,( C ) 2008 The Island Def Jam Music Group,4:34,"April 1 , 1997",81
Coming Home ( feat . Skylar Grey ),Diddy - Dirty Money & Skylar Grey,Last Train to Paris,"Hip-Hop/Rap , Music , R&B / Soul , Contemporary R&B , Dance , Rap",$ 1.29,‰ ãÑ 2010 Bad Boy/Interscope Records,3:58,14-Dec-10,Chicken Fried,Glass Animals,Zac Brown Band and More,Alternative Rock,$ 0.69,( C ) 2014 Wolf Tone Limited,3:58,,82
Whistle ( Digi Remix ),Flo Rida,Whistle ( Remixes ) - Single,"Dance,Music,Electronic,Hip-Hop / Rap , Rap",$ 1.29,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:31,26-Jun-12,Solomon,Major Lazer,Oscar-Worthy Music,"Electronica , Dance & Electronic",$ 1.29,( C ) 2011 Downtown Records Unders exclusive license to Interscope Records in the U.S.A.,3:31,,83
Track 14,Omi,Me 4 U,"Pop/Rock , Music , Pop , Dance , R&B / Soul",Album Only,"2015 Ultra Records , LLC under exclusive license to Columbia Records , a Division of Sony Music Entertainment",3:41,,Def Wish ( Album Version ),Compton 's Most Wanted,Straight Checkn 'Em,"Gangsta & Hardcore , Rap & Hip-Hop",$ 0.99,"( C ) 1994 Mercury Records , a Division of UMG Recordings , Inc.",3:41,"July 16 , 1991",84
Tornado,Little Big Town,Tornado,"Country , Music , Contemporary Country , Honky Tonk",$ 1.29,"‰ ãÑ 2012 Little Big Town LLC under exclusive license to Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN",3:43,7-Sep-12,I Love You,Daya Lorin,First Loved,"R&B , Gospel , Christian , Soul",$ 0.99,2012 Felecia D. Seard,3:43,"July 7 , 2012",85
Growing Her Wings,Lauren Alaina,Wildflower,"Country , Music , Rock , Contemporary Country",$ 1.29,"‰ ãÑ 2011 19 Recordings , Inc.",3:01,11-Oct-11,Smoke,Maddie & Tae,Start Here,Country,$ 1.29,"( C ) 2015 Republic Records , a Division of UMG Recordings , Inc. ( Dot Records )",3:01,"August 28 , 2015",86
Underage,Kelsea Ballerini,The First Time,"Country , Music , Contemporary Country , Honky Tonk , Rock",$ 1.29,2015 Black River Entertainment,3:10,18-May-15,Yo Te Sigo Queriendo,Selena,Entre A Mi Mundo,"International , Latin Music",$ 1.29,( C ) 2015 Capitol Latin,3:10,"March 31 , 2015",87
I 'm Not Alone ( Instrumental ),Calvin Harris,I 'm Not Alone,"Dance , Music , Electronic",$ 0.99,"2009 2009 Sony Music Entertainment UK Limited under exclusive licence to Ultra Records , Inc.",3:31,1-Sep-09,Spotlight,Selena Gomez & The Scene,A Year Without Rain,Pop,$ 1.29,"( C ) 2010 Hollywood Records , Inc.",3:31,"September 21 , 2010",88
Money Right ( feat . Rick Ross & Brisco ),Flo Rida,Mail On Sunday,"Hip-Hop/Rap , Music , Pop , Dirty South",$ 1.29,2008 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:16,18-Mar-08,All God 's Lonely Children,Kenny Rogers,49 All Time Greatest Hits,"Country , Traditional Country , Cowboy",$ 0.89,( c ) 2008 Goldenlane Records,3:16,"August 1 , 2008",89
How You Get the Girl ( Karaoke Version ),Taylor Swift,Taylor Swift Karaoke : 1989,"Pop , Music",$ 1.29,"‰ ãÑ 2014 Big Machine Records , LLC",4:05,3-Mar-15,The Anthem [ Explicit ],Paul McCartney,Pitbull and More,Rock,$ 0.89,"( C ) 2015 Copyright owned by MPL Communications Inc/Ltd under exclusive license to Concord Music Group , Inc.",4:05,,90
What Country Is,Luke Bryan,Doin ' My Thing,"Country , Music , Contemporary Country",$ 1.29,"‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",3:14,2-Oct-09,Kimdracula,Deftones,Saturday Night Wrist [ Explicit ],"Alternative Rock , Alternative Metal , Hard Rock & Metal , Pop , Rock",$ 1.29,"2010 High Fashion Music , The Netherlands",3:14,"October 31 , 2006",91
The More Boys I Meet,Carrie Underwood,Carnival Ride,"Country , Music , Rock , Pop , Contemporary Country",$ 1.29,‰ ãÑ 2007 19 Recordings Limited,3:34,22-Oct-07,The Birds Pt. 2 ( Album Version ( Explicit ) ) [ Explicit ],The Weeknd,Trilogy ( Explicit Version ) [ Explicit ],R&B,$ 1.29,"( C ) 2012 XO & co. , Inc.",3:34,"November 13 , 2012",92
Underage,Kelsea Ballerini,The First Time,"Country , Music , Contemporary Country , Honky Tonk , Rock",$ 1.29,2015 Black River Entertainment,3:10,18-May-15,Valley,Jonas Fjeld & Chatham County Line,Brother Of Song,Pop,$ 0.99,2010 Margit Music,3:10,"February 20 , 2009",93
Through the Ghost,Shinedown,Amaryllis,"Rock , Music , Alternative , Grunge , Hard Rock , Metal",$ 1.29,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4:01,23-Mar-12,Good for You,Macklemore,The Language Of My World,Rap & Hip-Hop,$ 0.99,2005 Ben Haggerty,4:01,"January 1 , 2005",94
Angel,The Weeknd,Beauty Behind the Madness,"R&B / Soul , Music",$ 1.29,"2015 The Weeknd XO , Inc. . Manufactured and Marketed by Republic Records , a Division of UMG Recordings , Inc.",6:17,28-Aug-15,Way Beyond Blue,Alan Jackson,The Bluegrass Album,"Country , Bluegrass",$ 1.29,"( C ) 2013 ACR Records , LLC under exclusive license to EMI Records Nashville . All rights reserved .",6:17,"September 24 , 2013",95
Shooting Arrows At the Sky,Santigold,The Hunger Games : Catching Fire ( Original Motion Picture Soundtrack ),"Soundtrack , Music , Original Score , Classical , Soundtrack",$ 1.29,"2013 Universal Republic Records , a division of UMG Recordings , Inc.",3:36,19-Nov-13,Gin And Juice II [ Explicit ],Snoop Dogg,"Da Game Is To Be Sold , Not To Be Told [ Explicit ]","Gangsta & Hardcore , Rap & Hip-Hop",$ 1.29,"( C ) 1998 Priority Records , LLC . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Priority Records , LLC ,",3:36,"August 4 , 1998",96
Sweet Lil ' Gal ( 23rd/1st ),Ryan Adams,Heartbreaker,"Singer/Songwriter , Music , Rock , Southern Rock , Country , Adult Alternative , American Trad Rock , Americana , Alternative Country",$ 0.99,2000 Pax Am Records,3:38,5-Sep-00,Friends We Wo n't Forget,Shake It for Me,Country for a Cookout,Country,$ 1.29,2012 Spring Entertainment,3:38,,97
The Whisperer ( feat . Sia ),David Guetta,Listen,"Dance , Music , Electronic , House , Rock , French Pop",$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",3:54,24-Nov-14,Not Where You 're At ( But Where You Will Be ),The Rave Ups,Town And Country,"Alternative Rock , Country",$ 0.99,2009 Fun Stuff,3:54,"June 10 , 1985",98
Old Blue Chair,Kenny Chesney,When the Sun Goes Down,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29,2004 Sony Music Entertainment,3:23,1-Jan-90,So You Wan na Be a Prankster,Dada Life,Just Do The Dada,"Electronica , Dance & Electronic",$ 0.99,( C ) 2009 The Hours Entertainment,3:23,"March 2 , 2010",99
