ltable_title,ltable_description,ltable_brand,ltable_specTableContent,rtable_title,rtable_description,rtable_brand,rtable_specTableContent,label,pair_id
startech com dual video universal usb 3 0 laptop docking station hdmi dvi vga black usb3sdockhdv,,,,kingston datatraveler se9 g2 16 gb usb 3 0 dtse9g2 16gb thumb drives cdw com,store transfer and share your favorite photos videos music and more with kingston s datatraveler se9 g2 usb flash drive its stylish capless design means there s no cap to lose and its ultrasmall form factor fits any lifestyle datatraveler se9 g2 offers fast usb 3 0 speeds to save time when transferring sharing or storing files its durable top selling metal casing design and sturdy key ring can be customized by adding your logo and digital files to promote your organization or brand,,,0,3090561#2096778
"dg0300farvv hp 300 gb 6g 10k 2 5 dp sas , null new pack wholesale price 5pack",description 5 x 300gb 2 5 inch serial attached scsi sas sff 6g dual port hot plug 10k hard drivein hpe hot plug hard drive tray as pictured for g1 g7 proliant sas serversgenuine hpe serial number and firmwaregenuine hpe certified hard drivepart number s option part 507127 b21 spare part 507284 001 assembly part 518194 002 model dg0300farvv,hp enterprise,specifications category proliant harddrive sub category 10k generation sas part number dg0300farvv 5pack products id 463247 type hard drive hot swap capacity 300gb interface type serial attached scsi spindle speed 10000rpm ports dual port speed 6gb s,512743 001 hp 72 gb 6g 15k 2 5 dp sas hdd part,description 72gb 2 5 inch serial attached scsi sas sff 6g dual port hot plug 15k hard disk drivefor g1 g7 proliant sas serversgenuine hpe serial number and firmwaregenuine hpe certified hard drivepart number s option part 512545 b21 spare part 512743 001 assembly part 512544 001 model dh0072faqrd,hp enterprise,specifications manufacturer hp category hard drive sub category 15k generation sas part number hp 512743 001 product id 457424 hp harddrives type hard drive hot swap capacity 72gb interface type serial attached scsi spindle speed 15000rpm,0,6493497#11128898
2 5 inch 7mm 800gb intel data center s3610 solid state drive ssd ln62728 ssdsc2bx800g401 scan uk,800gb intel dc s3610 2 5 ssd sata 3 0 6gb s 20nm mlc read 550mb s write 520mb s 84k read 28k write iops,,,intel solid state drive 540s series 240 gb sata 6gb ssdsckkw240h6x1 drives ssds cdw com,designed for a range of devices from ultrabooks to desktops and laptops the intel ssd 540s series delivers a low power storage solution to meet the performance quality and reliability requirements demanded by today s consumer devices additionally the 540s series offers increased value as intel s tlc based drive,,,0,6540552#1346260
lenovo legion y520 15 i7 7700hq 8gb 128gb ssd 1tb nvidia gtx1050 4gb 6 w10 port tiles baratos y ordenadores convertibles l deres en precios,intel core i7 7700hq processor 2 80ghz 2400mhz 6mb windows 10 home 64 15 6 fhd ips antiglare led backlight 1920x1080 memoria ram 8gb pc4 19200 ddr4 sodimm 2400mhz disco solido 128gb ssd pcie disco duro 1tb 5400 rpm nvidia geforce gtx1050m 4gb gddr5,,,hp zbook 15 g3 i7 6700hq 8gb 256gb ssd quadro m1000 2gb 6 w7 w10pro 14u g4 7500u 16gb 512gb amd fp w4190m 14 w10p,windows 7 pro 64 actualizable a windows 10 pro procesador intel core i7 6700hq 15 6 led fhd uwva ips antirreflectante 1920 x 1080 memoria 8 gb ddr4 2133 2 x 4 gb disco duro unidad turbo hp z de 256 gb ssd pcle gr ficos nvidia quadro m1000m gddr5 dedicada de 2 gb,,,0,16448949#8543868
intel core i3 4340 boxed prijzen tweakers,,,categorie processors merk intel productserie core i3 product intel core i3 4340 uitvoering intel core i3 4340 boxed ean 5032037056052 5032037056069 sku bx80646i34340 tweakers id 348166,intel core i3 6300 boxed prijzen tweakers,,,categorie processors merk intel productserie core i3 product intel core i3 6300 uitvoering boxed ean 0675901364782 sku bx80662i36300 tweakers id 465249 productprijs 139 pakketpost vanaf 20 i c m ideal 0 ideal 0 totaal 139 onjuiste prijs melden productprijs 150 95 pakketpost nederland vanaf 25 0 ideal 0 totaal 150 95 onjuiste prijs melden productprijs 150 95 pakketpost tot 50 0 ideal 0 totaal 150 95 onjuiste prijs melden productprijs 145 99 pakketpost vanaf 99 5 95 ideal 0 50 totaal 152 44 onjuiste prijs melden productprijs 148 50 pakketpost dpd 3 95 ideal 0 totaal 152 45 onjuiste prijs melden productprijs 149 75 pakketpost 0 30 kg 4 95 ideal vanaf 10 0 totaal 154 70 onjuiste prijs melden productprijs 160 pakketpost boven 20 0 ideal 0 totaal 160 onjuiste prijs melden productprijs 160 99 pakketpost 0 ideal 0 totaal 160 99 onjuiste prijs melden productprijs 162 pakketpost vanaf 0 ideal 0 totaal 162 onjuiste prijs melden productprijs 170 95 pakketpost 3 95 ideal 0 totaal 174 90 onjuiste prijs melden productprijs 163 35 pakketpost 12 10 ideal 0 totaal 175 45 onjuiste prijs melden productprijs 179 99 pakketpost tot 20 0 ideal 0 totaal 179 99 onjuiste prijs melden,0,7936020#2935082
kingston ultimate sdxc 64gb uhs i class 10,the 64gbsdxc 300x class 10 uhs 1 memory card from kingston features a maximum read speed of 90 mb s and a maximum write speed of 45 mb s capture full hd 1080p and 3d video and raw photos and enjoy smooth continuous shooting a built in write protect switch prevents accidental data loss the card is backed by a lifetime warranty,kingston,official release date may 06 2013 pax code pax0006265146 catalog no sda10 64gb item code 0740617216233 product measures 3 2cm x 2 4cm x 0 21cm,transcend ultimate flash memory card 32 gb microsdhc uhs i ts32gusdu3 cards cdwg com,transcend s sdxc sdhc uhs i speed class 3 u3 633x microsd cards provide the performance and capacity necessary to harness the full power of your uhs i compliant smartphones tablets digital cameras and camcorders capable of reaching incredible read and write speeds of up to 95mb s and 85mb s these cards can easily capture ultra high quality 4k and 3d recording and significantly reduce the time it takes to transfer videos to your computer additionally the top tier mlc nand flash chips inside provide consistent long life durability and endurance,,,0,6128879#12050629
amd black edition athlon ii x4 860k 3 7 ghz processor ad860kxbjabox add in processors cpus cdw com,do more of the things you want to in less time and enhance your digital life with the multi core performance and energy efficiency of amd athlon ii processor based desktop systems combined with superior ati radeon hd graphics technology systems based on the amd athlon ii processor deliver a vivid visual experience superior multi tasking and exceptional digital media performance with energy efficiency,,,amd a8 5600k black edition quad core apu 3 9 6ghz processor fm2 4mb cache 100w retail box trinity ncix,,,quick specs process technology 32 nm weight approximate 3 36 oz clock speed 3 60 ghz processor socket socket fm2 l2 cache 4 mb width 1 6 depth 1 6 processor core quad core 4 core 64 bit processing yes thermal specification 165 2 f 74 c thermal design power 100 w processor manufacturer amd graphics controller manufacturer amd graphics controller model radeon hd 7560d overclocking speed 3 90 ghz productid 1023275554,0,7111733#15531663
"null , 271246 001 ml530r g2 xeon 3 0ghz 1gb",description 271246 001 proliant ml530 rack g3 xeon 3 0ghz 1gb part,hp enterprise,,"null , 345021 b21 bl20p g2 xeon 3 2ghz 1gb 2p wholesale price",description proliant bl20p g2 xeon3 2g 1m 2p fc mezz bladehewlett packard part 345021 b21,hp enterprise,specifications category proliant server sub category bl20 generation g2 part number 345021 b21 products id 15416 form factor blade processor xeon 3 2 ghz processors qty 2 installed memory 1 gb ddr sdram networking type network adapter data link protocol ethernet fast ethernet gigabit ethernet installed l2 cache memory 2 mb,0,16152428#17448760
intel core i7 6700k tray specificaties tweakers,,,categorie processors merk intel productserie core i7 product intel core i7 6700k uitvoering tray ean 0675901346405 8592978040642 sku cm8066201919901 tweakers id 457399 populaire specificaties klokfrequentie klokfrequentie de standaard snelheid van de processor uitgedrukt in mhz of ghz 1000mhz 4ghz maximale turboklokfrequentie maximale turboklokfrequentie wanneer de processor tijdelijk meer kracht nodig heeft zal de frequentie automatisch verhoogd worden hierdoor zal de processor betere prestaties leveren 4 2ghz aantal cores aantal cores het aantal processorkernen wat beschikbaar is als er meerdere processorkernen beschikbaar zijn kun je zwaardere processen draaien 4 socket socket de socket is de houder waarin je de processor plaatst en deze daarna vastzet met een hendel 1151 verkoopstatus cpu tray cpu sspec number sr2br video ge ntegreerde graphics ge ntegreerde graphics beschikt de processor over een geintereerde gpu graphics processing unit ja videochip videochip de videochip is verantwoordelijk voor het produceren van het beeldsignaal een snelle chip zorgt ervoor dat je complexere beelden kunt tonen zonder stotterende weergave intel hd graphics 530 nominale snelheid videochip nominale snelheid videochip de standaard kloksnelheid waar de videochip op draait 350mhz maximale snelheid videochip 1 15ghz functies threads 8x hyperthreading smt ja virtualisatie ja virtualisatie type intel vt d intel vt x cpu multiplier 40 cpu stepping r0 cpu instructieset aes avx avx2 em64t mmx nx bit sse sse2 sse3 sse4 sse4 1 sse4 2 ssse3 x86 64 xd max aantal pci e lanes 16x meer informatie product intel core i7 6700k categorie processors merk intel serie core i7 tweakers id 457399 ean 0675901346405 8592978040642 sku cm8066201919901 specs van de fabrikant productinformatie,intel i7 6800k broadwell extreme unlocked cpu processor ln72342 bx80671i76800k scan uk,intel core i7 6800k s 2011 3 broadwell e six core 12 thread 3 4ghz clock 3 8ghz turbo 15mb 28 lane 140w retail,,,0,12610399#7955307
"null , 587507 b21 hp xeon l5640 2 26ghz dl380 g7",description hp intel xeon l5640 dl380 g7 2 26ghz 6 core 60w 12mb full processor option kitpart number s manufacturer part 587507 b21,hp enterprise,,"453475 b21 hp xeon l5335 2 0ghz dl140 g3 , null",description intel xeon l5335 dl140 g3 2 0ghz 4 core 8mb 80w full processor option kitpart number s manufacturer part 453475 b21,hp enterprise,specifications category proliant processor sub category intel xeon generation g3 part number 453475 b21 products id 458275 product type processor low voltage processor type intel xeon processor core quad core processor qty 1 clock speed 2 0ghz bus speed 1333mhz l2 cache 8mb 64 bit processing yes process technology 65nm processor socket socket j lga 771 thermal design power 50w,0,15145036#17140727
asus m5a99fx pro r2 0 prijzen tweakers,,,categorie moederborden merk asus product asus m5a99fx pro r2 0 uitvoering asus m5a99fx pro r2 0 ean 0610839187430 0885909602902 4719543187432 sku 90 mibit0 g0eay0vz m5a99fx pro r2 0 tweakers id 314670 productprijs 169 99 pakketpost nederland 0 ideal 0 totaal 169 99 onjuiste prijs melden productprijs 169 99 pakketpost tot 20 0 ideal 0 totaal 169 99 onjuiste prijs melden productprijs 167 opsturen nederland t m 200 6 95 ideal 0 totaal 173 95 onjuiste prijs melden,asus prime x299 deluxe prijzen tweakers,,,categorie moederborden merk asus product asus prime x299 deluxe uitvoering asus prime x299 deluxe ean 4712900763881 sku 90mb0ty0 m0eay0 prime x299 deluxe tweakers id 776903 productprijs 398 95 pakketpost nederland 0 ideal 0 totaal 398 95 onjuiste prijs melden productprijs 395 pakketpost 3 95 ideal 0 totaal 398 95 onjuiste prijs melden productprijs 399 verzending 0 ideal 0 totaal 399 onjuiste prijs melden productprijs 399 pakketpost tot 50 0 ideal 0 totaal 399 onjuiste prijs melden productprijs 409 pakketpost vanaf 50 0 ideal 0 totaal 409 onjuiste prijs melden productprijs 409 pakketpost vanaf 25 0 ideal 0 totaal 409 onjuiste prijs melden productprijs 421 pakketpost nederland vanaf 75 0 ideal 0 totaal 421 onjuiste prijs melden productprijs 428 22 opsturen vanaf 50 0 ideal 0 totaal 428 22 onjuiste prijs melden productprijs 427 51 pakketpost dpd 3 95 ideal 0 totaal 431 46 onjuiste prijs melden productprijs 430 10 pakketpost 0 30 kg 4 95 ideal vanaf 10 0 totaal 435 05 onjuiste prijs melden productprijs 444 pakketpost vanaf 0 ideal 0 totaal 444 onjuiste prijs melden productprijs 443 30 pakketpost vanaf 99 3 95 ideal 0 50 totaal 447 75 onjuiste prijs melden productprijs 450 pakketpost 0 ideal 0 totaal 450 onjuiste prijs melden productprijs 451 25 pakketpost nl dpd 4 95 ideal 0 totaal 456 20 onjuiste prijs melden productprijs 457 pakketpost vanaf 36 24 0 ideal 0 totaal 457 onjuiste prijs melden productprijs 461 opsturen nederland vanaf 301 0 ideal 0 totaal 461 onjuiste prijs melden productprijs 465 pakketpost vanaf 20 i c m ideal 0 ideal 0 totaal 465 onjuiste prijs melden productprijs 465 85 pakketpost 0 ideal 0 totaal 465 85 onjuiste prijs melden productprijs 468 pakketpost 100 0 ideal 0 totaal 468 onjuiste prijs melden productprijs 479 pakketpost 50 0 ideal 0 totaal 479 onjuiste prijs melden productprijs 482 pakketpost vanaf 50 0 ideal 0 totaal 482 onjuiste prijs melden productprijs 483 50 pakketpost nederland vanaf 19 0 ideal 0 totaal 483 50 onjuiste prijs melden productprijs 505 80 pakketpost vanaf 50 0 ideal 0 totaal 505 80 onjuiste prijs melden productprijs 531 19 pakketpost vanaf 29 95 0 ideal 0 totaal 531 19 onjuiste prijs melden,0,5405075#16721450
western digital 1tb purple sata gb s 5400 rpm 64mb 3 5 wd10purz,,,specifications storage capacity 1 tb drive interface sata drive interface standard sata 600 spindle speed rpm 5400 buffer 64 mb wireless lan no drive type internal drive width 3 5 dimensions 1 x 4 x 5 8,seagate barracuda 4tb sata iii 3 5 hard drive 5400rpm 256mb st4000dm004 ccl computers,seagate brings over 20 years of trusted performance and reliability to the seagate barracuda 3 5 inch hdds now available in capacities up to 4tb versatile mix of capacity and price point options to fit any budget multi tier caching technology for excellent hard drive performance barracuda leads the industry with the highest capacities for desktops and mobile computers the uncompromising barracuda marries industry leading storage capacity with 7 200 rpm spin speeds for snappy performance and load times when gaming or performing heavy workloads,seagate,item details manufacturer seagate part number st4000dm004 ean 0763649094402 condition new,0,11402257#12283205
intel core i5 6400 2 70ghz skylake socket lga1151 processor retail processo ocuk,quad core technology 2 70ghz clock speed 14nm process 6mb l3 cache dual channel ddr3 ddr4 controller integrated iris dx12 graphics 3 year warranty,intel,,intel core i5 7500 3 4ghz quad processor bx80677i57500 pcpartpicker united kingdom,,intel,,0,10835073#12293235
asus geforce gt 730 silent low profile 2gb gddr3 graphics card gt730 sl 2gd3 brk novatech,902mhz core 1800mhz 64 bit memory 384 cuda cores dvi d hdmi dsub length 137mm lp bracket included 3 year warranty,asus,,asus turbo gtx1070 8g prijzen tweakers,,,categorie videokaarten merk asus product asus turbo gtx1070 8g uitvoering asus turbo gtx1070 8g ean 4712900459623 sku 90yv09p0 m0na00 turbo gtx1070 8g tweakers id 554665 productprijs 458 95 pakketpost nederland 0 ideal 0 totaal 458 95 onjuiste prijs melden productprijs 455 pakketpost 3 95 ideal 0 totaal 458 95 onjuiste prijs melden productprijs 459 pakketpost tot 50 0 ideal 0 totaal 459 onjuiste prijs melden productprijs 459 pakketpost vanaf 0 ideal 0 totaal 459 onjuiste prijs melden productprijs 459 pakketpost boven 20 0 ideal 0 totaal 459 onjuiste prijs melden productprijs 457 pakketpost dpd 3 95 ideal 0 totaal 460 95 onjuiste prijs melden productprijs 477 pakketpost nl dpd 4 95 ideal 0 totaal 481 95 onjuiste prijs melden productprijs 489 verzending 0 ideal 0 totaal 489 onjuiste prijs melden productprijs 494 89 pakketpost 0 ideal 0 totaal 494 89 onjuiste prijs melden productprijs 497 pakketpost 100 0 ideal 0 totaal 497 onjuiste prijs melden productprijs 499 pakketpost vanaf 50 0 ideal 0 totaal 499 onjuiste prijs melden productprijs 502 11 pakketpost vanaf 99 5 95 ideal 0 50 totaal 508 56 onjuiste prijs melden productprijs 509 pakketpost tot 1 kg 0 ideal 0 totaal 509 onjuiste prijs melden productprijs 508 20 pakketpost 5 99 ideal 0 totaal 514 19 onjuiste prijs melden productprijs 521 pakketpost 0 ideal 0 totaal 521 onjuiste prijs melden productprijs 537 75 opsturen 0 ideal 0 totaal 537 75 onjuiste prijs melden productprijs 567 49 pakketpost vanaf 29 95 0 ideal 0 totaal 567 49 onjuiste prijs melden,0,3430212#4762524
"null , 508429 001 hp 400 gb 10k 3 5 dp nhp sas new 2 pack wholesale price 2pack",description 2 x 400gb serial attached scsi sas 3 5 inch non hot plug 10k dp hard drivegenuine hpe serial number and firmwarepart number s hewlett packard part 508232 b21spare part 508429 001,hp enterprise,specifications category proliant hard drive sub category 10k generation sas nhp part number 508429 001 2pack products id 466739 capacity 400gb interface serial attached scsi sas enclosure internal drive dimensions 3 5 inches x 1 3h low profile spindle speed 10000rpm external data transfer 3072mb s seek time 3 5ms hotswap no manufacturer hewlett packard pre failure warranty yes hot swap tray not included package qty 1 508429 001 compatible servers dl120 g5 dl120 g6 g7 ml110 g4 ml110 g5 ml115 g1 ml115 g5 ml150 g5 ml150 g6 g7 ml330 g6,432094 b21 hp 146 gb 15k 3 5 sp sas pack part 5pack,description 5 x 146gb serial attached scsi sas 15k 3 5 inch single port hot plug hard drivein hpe hot plug hard drive tray as pictured for g1 g7 proliant sas serversgenuine hpe serial number and firmwaregenuine hpe certified hard drivepart number s option part 375872 b21 spare part 376595 001 alternate option 432094 b21 assembly part 443169 002 assembly part 392254 003 assembly part 375698 003 assembly part 431943 003 model df146a4941 model df146a9845 model df146a8b57 model df146abaa9,hp enterprise,specifications manufacturer hp category hard drive sub category 15k generation sas part number hp 432094 b21 5pack product id 455287 hp harddrives capacity 146gb interface serial attached scsi sas enclosure internal drive dimensions 3 5 inches x 1 3h low profile spindle speed 15000rpm external data transfer 300mb s seek time 3 5ms hotswap yes manufacturer hewlett packard pre failure warranty yes hot swap tray included attached,0,13858241#11927117
tp link tl sg1024d 24 port gigabit desk rackmount switch,tp link tl sg1024d 24 port gigabit desk rackmount switch,tp link,item code nht sg1024d item tp link tl sg1024d 24 port gigabit desk rackmount switch brand tp link model tl sg1024d ean 6935364020620 weight kg 8 00 price 70 61,tp link tl sg1024d 24 port gigabit desktop rackmount switch ncix,,,quick specs package contents tl sg1024d ethernet switch 1 x power cord user guide mounting screws and two l planks power source power supply form factor rack mountable desktop network technology 10 100 1000base t height 1 7 width 11 6 depth 7 1 ethernet technology gigabit ethernet fast ethernet total number of network ports 24 port expansion slot details 24 x gigabit ethernet network productid 1018406611,1,14598254#4835019
zebra ls2208 1d sr multi if kit rs232 anthracite barcode scanner hand held use cod sr20007r ur,zebra ls2208 1d sr multi if kit rs232 anthracite,zebra,,trendnet ac1900 dual band wireless router prices cnet,,trendnet,,0,13723181#7583010
samsung 850 evo 500gb internal serial ata solid state drive for laptops,with turbowrite technology this samsung 850 evo mz 75e500b 500gb internal sata hard drive allows you to quickly update files the 32 layer 3d vnand flash memory ensures reliable performance and aes 256 bit encryption keeps your data private,,,samsung 850 evo m 2 1tb prijzen tweakers,,,categorie solid state drives merk samsung productserie 850 product samsung 850 evo m 2 uitvoering 1tb ean 8806088160900 sku mz n5e1t0bw tweakers id 554115 productprijs 348 40 pakketpost 0 30 kg 4 95 ideal vanaf 10 0 totaal 353 35 onjuiste prijs melden productprijs 355 pakketpost postnl vanaf 49 95 0 ideal 0 totaal 355 onjuiste prijs melden productprijs 352 pakketpost dpd 3 95 ideal 0 totaal 355 95 onjuiste prijs melden productprijs 356 pakketpost 100 0 ideal 0 totaal 356 onjuiste prijs melden productprijs 353 21 pakketpost vanaf 99 3 95 ideal 0 50 totaal 357 66 onjuiste prijs melden productprijs 353 pakketpost nl dpd 4 95 ideal 0 totaal 357 95 onjuiste prijs melden productprijs 362 30 pakketpost nederland vanaf 20 0 ideal 0 totaal 362 30 onjuiste prijs melden productprijs 363 pakketpost nederland vanaf 25 0 ideal 0 totaal 363 onjuiste prijs melden productprijs 363 pakketpost vanaf 29 95 0 ideal 0 totaal 363 onjuiste prijs melden productprijs 363 78 opsturen vanaf 50 0 ideal 0 totaal 363 78 onjuiste prijs melden productprijs 360 pakketpost 3 95 ideal 0 totaal 363 95 onjuiste prijs melden productprijs 364 pakketpost vanaf 100 0 ideal 0 totaal 364 onjuiste prijs melden productprijs 365 pakketpost vanaf 36 24 0 ideal 0 totaal 365 onjuiste prijs melden productprijs 371 pakketpost nederland vanaf 75 0 ideal 0 totaal 371 onjuiste prijs melden productprijs 376 pakketpost vanaf 0 ideal 0 totaal 376 onjuiste prijs melden productprijs 379 pakketpost tot 50 0 ideal 0 totaal 379 onjuiste prijs melden productprijs 382 pakketpost vanaf 29 0 ideal 0 totaal 382 onjuiste prijs melden productprijs 394 64 opsturen 0 ideal 0 totaal 394 64 onjuiste prijs melden productprijs 398 90 pakketpost vanaf 50 0 ideal 0 totaal 398 90 onjuiste prijs melden productprijs 399 pakketpost vanaf 20 i c m ideal 0 ideal 0 totaal 399 onjuiste prijs melden productprijs 405 35 pakketpost 0 ideal 0 totaal 405 35 onjuiste prijs melden productprijs 406 12 opsturen ups standard 18 83 ideal 0 totaal 424 95 onjuiste prijs melden productprijs 439 99 pakketpost tot 20 0 ideal 0 totaal 439 99 onjuiste prijs melden,0,4175743#8748420
corsair flash survivor 64 gb usb 3 0 drive black cmfss3b 64gb novatech,,corsair,,kingston 128gb dt100 datatraveler g3 usb 3 0 storage flash drive ln77011 dt100g3 scan uk,128gb kingston dt100 g3 usb 3 0 datatraveler g3 flash pen drive 100mb s read 10mb s write,,,0,5622216#5269085
"hp memory 64 gb 8 x dimm 240 pin ddr2 series , prices cnet",,hp,,"432803 b21 hp 512mb pc2 5300 ecc dimm , null",description hp 512mb unbuffered pc2 5300 ecc dimm 1 x part number s 432803 b21,hp enterprise,specifications category proliant memory sub category genuine hp memory generation 677mhz part number 432803 b21 products id 143242 technology ddr ram ecc registered unbuffered capacity 512mb bus clock 677mhz application server memory server model hp proliant compatibility hp proliant servers manufacturer hewlett packard hp serial number yes hp logo yes guaranteed genuine hp yes 432803 b21 compatible servers dl320 g5 dl320s ml110 g4 ml115 g1 ml310 g4,0,15625877#17480852
"456896 001 hp 400 gb 10k 3 5 dp sas , null",description 5 x 400gb serial attached scsi sas 10k 3 inch dual port hot plug hard drivein hpe drive tray as pictured for g1 g7 proliant serversgenuine number and firmwaregenuine certified drivepart s option part 459508 b21 spare 456896 001 assembly 455543 model dd400b8541,hp enterprise,specifications category proliant harddrive sub category 10k generation sas part number 456896 001 5pack products id 455698 capacity 400gb interface serial attached scsi sas enclosure internal drive dimensions 3 5 inches x 1 3h low profile spindle speed 10000rpm external data transfer 3gb s seek time 3 5ms hotswap yes manufacturer hewlett packard pre failure warranty yes hot swap tray included attached ports dual port,431786 b21 hp 120 gb 5 4k 2 1 5g sata hdd,description hp 120gb 1 5g sata 5 4k 2 inch sff hot plug hard drive in hpe tray as pictured for g1 g7 proliant serversgenuine serial number and firmwaregenuine certified drivepart s option part 431786 b21 spare 431908 001 assembly 443193 002 model fj120c4981,hp enterprise,specifications manufacturer hp category hard drive sub category 5 4k generation sata part number hp 431786 b21 product id 142989 hp harddrives type hard drive hot swap form factor 2 5 inches x 1 8h capacity 120gb interface type serial ata 150 data transfer rate 150mb s average seek time 15ms spindle speed 5400rpm,0,17043230#8438939
"null , 308724 001 dl360r g3 xeon 2 8ghz 512mb",description proliant dl360r g3xeon2 8 512mb 400fsb part 308724 001,hp enterprise,specifications category proliant server sub category dl360r generation g3 part number 308724 001 products id 142302 chipset serverworks grand chamption le form factor rack mountable processor xeon 2 8 ghz processors qty 1 installed memory 1024 mb ddr sdram platform speed 2 8 ghz socket type socket 604 storage controller type dma ata ultra x 1 bus speed 533 mhz video output interface pci number of memory slots 4 x 184 pin dimms supported ram speeds 266 mhz raid support raid 0 raid 1 raid 10 raid 5,"null , 359623 b21 bl20p g2 xeon 2 8ghz 1m 512mb",description bl20pg2 xeon 2 8ghz 1m 512mb 1p blade manufacturer part 359623 b21,hp enterprise,specifications category proliant server sub category bl20 generation g2 part number 359623 b21 products id 15408 chassis form blade model proliant bl20p cache memory installed 512 mb ram installed 1 gb ram technology ddr sdram ram maximum 8 gb networking protocol ethernet fast ethernet gigabit etherne controller raid level raid 0 raid 1 raid 10 raid 5 video ram installed 0 mb video card none,0,17485878#16935737
"null , 359461 005 hp 72 8 gb 10k fc al hdd new wholesale price",description storageworks 72 8gb 10k fibre channel 40 pin 2gb s hotswap fcal hard drivegenuine hpe serial number and firmwarepart number s option part 238921 b21 spare part 244448 002 assembly part 359461 005 model bd0725822b 2 5 2 part fe 19980 01,hp enterprise,specifications category storageworks hdd sub category 10k generation fibre channel part number 359461 005 products id 144408 type hard drive hot swap form factor 3 5 inch x 1 inch plug in module capacity 72 8gb interface type fc al data transfer rate 2gb s rotational speed 10000rpm pins 40 manufacturer hp compaq pre failure warranty yes,"null , 359461 007 hp 300 gb 10k fc al new 2 pack wholesale price 2pack",description 2 x storageworks 300gb 10k fibre channel 40 pin 2gb s hotswap fcal hard drive part number s option part 364622 b22 spare part 366023 001or spare part 366023 002 rohs assembly part 359461 007 assembly part 359461 003 model bd30058232,hp enterprise,specifications category storageworks hdd sub category 10k generation fibre channel part number 359461 007 2pack products id 463839 type hard drive hot swap form factor 3 5 inch x 1 plug in module capacity 300gb interface type fc al data transfer rate 2gb s rotational speed 10000rpm pins 40 manufacturer hp compaq pre failure warranty yes,0,17427245#6284581
"154457 b21 hp wide ultra3 scsi adapter , null",description hp 64 bit 66mhz single channel wide ultra3 scsi controllerpart number s option part 154457 b21,hp enterprise,specifications category proliant sub category controller generation ultra3 part number 154457 b21 products id 8587 controller type scsi controller enclosure internal scsi interface ultra160 scsi recommended machine type server platform pc unix bus type pci data transfer rate 160mb s of internal connectors 3 of external connectors 1 maximum supported devices 30 dimensions wxdxh 8 75 in x 16 75 in x 3 25 in weight 1 0 lbs,"null , 391661 b21 hp nc340t server adapter",description hp nc340t pci x quad port gigabit server adapterpart number s manufacturer part 391661 b21,hp enterprise,specifications category proliant controller sub category proliant network adapter generation nc340t part number 391661 b21 products id 458262 manufacturer hp product type server adapter host interface pci x cabling type ethernet 10 1000base t 100base tx form factor internal data transfer rate 1gb s memory 256kb,0,17548790#17077415
micron lambdatek internal solid state drives,,mfr num mtfddak512tbn 1ar1zabyy,,samsung 960 evo 500gb ssd m 2 nvme pcie wipoid com,,,,0,11803432#1190947
gigabyte amd radeon rx 550 2gb d5 graphics card ln80158 gv rx550d5 2gd scan uk,2gb gigabyte radeon rx 550 d5 14nm polaris 512 streams 1183mhz gpu 7000mhz gddr5 dp hdmi dvi d dl,,,zotac geforce gtx 1050 ti 4gb oc edition prijzen tweakers,,,categorie videokaarten merk zotac product zotac geforce gtx 1050 ti 4gb oc edition uitvoering zotac geforce gtx 1050 ti 4gb oc edition ean 0816264017186 4895173611087 sku zt p10510b 10l tweakers id 664925 productprijs 171 45 pakketpost nederland 0 ideal 0 totaal 171 45 onjuiste prijs melden productprijs 167 50 pakketpost dpd 3 95 ideal 0 totaal 171 45 onjuiste prijs melden productprijs 178 23 pakketpost vanaf 99 3 95 ideal 0 50 totaal 182 68 onjuiste prijs melden productprijs 180 opsturen nederland t m 200 6 95 ideal 0 totaal 186 95 onjuiste prijs melden productprijs 191 04 pakketpost nederland vanaf 20 0 ideal 0 totaal 191 04 onjuiste prijs melden productprijs 199 pakketpost vanaf 20 i c m ideal 0 ideal 0 totaal 199 onjuiste prijs melden,0,1221565#2393814
kingston 64gb datatraveler microduo 3 dtduo3 flash drive usb 0 otg r70mb s w15mb for androi,64gb kingston datatraveler microduo 3 usb 0 flash memory drive with microusb otg support capless ultra small form factor design up to 70mb s read and 15mb write for mac pc 5v self powered plug play hot swappable external media portable 27 63mm x 16 46mm 8 56mm,kingston,,pen kingston datatraveler se9 g2 16gb usb3 0 dtse9g2 pcdiga,pendrive 3 0 leve e moderna armazene transfira e compartilhe fotos v deos e m sicase muito mais com a pendrive data traveler se9 g2 da kingston o seudesign moderno e sem tampa significa que n o h tampa para perdere o seu formato ultra pequeno combina com qualquer estilo de vida velocidades usb 3 0 para economia de tempoa pendrive datatraveler se9 g2 oferece agora maiores velocidadesusb 3 0 para economizar tempo quando voc transfere compartilhaou armazena arquivos caracter sticas benef cios r pido velocidades usb 3 0 para economizar tempo aotransferir compartilhar ou armazenar arquivos compacto formato ultra pequeno sem tampa dur vel design moderno em metal com argola integrada especifica es capacidade 16gb velocidade at 100mb s para leitura em usb 3 0 dimens es do produto 45 00mm x 12 2mm x 4 6mm compatibilidade windows mac os x linux chrome os,kingston,,0,12646822#5878293
