ltable_title,ltable_description,ltable_brand,rtable_title,rtable_description,rtable_brand,label,id
amd fx8320e processor 8 core ln59569 fd832ewmhkbox scan uk,amd fx 8320e 8 core am3 clock 3 2ghz turbo 4ghz 8mb l3 cache 95w cpu retail,,amd processor dc a6 9500 apu 3 5ghz 8ghz turbo 1mb l2 cache 65w 2400mhz ddr4 buy at connection public sector solutions,,,0,13732130#17487952
asus zenbook 3 ux390ua gs042t i5 7200u 8gb 256gb ssd 12 5 w10 azul oro megacomponentes com tu tienda online en inform tica y tecnolog a,12 5 i5 7200u 8gb ssd256gb win10,,asus zenbook 3 deluxe ux490ua be029t i5 7200u 8gb 256gb ssd 14 w10 azul strix gl553vd dm469t i7 7700hq 16gb 128gb 1tb nvidia gtx10,14 i5 7200u 8gb ssd256gb win10,,0,12047090#1427811
apple mac mini 2 8ghz intel core i5 4260u 4gb ram 500gb hd5000 sierra,apple mac mini dts 1 x core i5 2 8 ghz ram 8 gb unidad h brida 1 tb iris graphics gige wlan bluetooth 4 0 802 11a b g n ac os x 10 12 sierra monitor ninguno,,apple mac mini 2 8ghz intel core i5 computer mgeq2ll a,2 8ghz dual core intel core i5 turbo boost up to 3 3ghz 3mb l3 cache 1tb fusion drive 8gb of 1600mhz lpddr3 memory intel iris graphics thunderbolt 2 usb 3 sdxc card slot hdmi 802 11ac bluetooth 4 0 aluminum finish,apple,0,14110226#12333653
asus zenbook 3 deluxe ux490ua be029t i5 7200u 8gb 256gb ssd 14 w10 azul pro b9440ua gv0132r i7 7500u led fhd w10pro,14 i5 7200u 8gb ssd256gb win10,,hp zbook 15 g3 i7 6700hq 8gb 256gb ssd quadro m1000 2gb 6 w7 w10pro elite x2 1011 g1 m 5y51 11 tactil teclado w10pr,windows 7 pro 64 actualizable a windows 10 pro procesador intel core i7 6700hq 15 6 led fhd uwva ips antirreflectante 1920 x 1080 memoria 8 gb ddr4 2133 2 x 4 gb disco duro unidad turbo hp z de 256 gb ssd pcle gr ficos nvidia quadro m1000m gddr5 dedicada de 2 gb,,0,16110448#2479195
sandisk ultra sdxc 64gb 80mb s uhs i clase 10 tarjeta sd almacenamiento disco duro o tu tienda online l der con precios m baratos,sandisk ultra tarjeta de memoria flash 64 gb class 10 533x sdxc uhs i,,western digital black 1 tb internal hdd wd1003fzex enterprise hard drives cdw com,this wd black drive delivers improved performance that heightens the experience in your pc playground this performance drive offers enhanced features over the previous generation to maximize system performance allowing you to have more fun creating while spending less time waiting,,0,16608749#14701696
ssd kingston m 2 pcie 480go,kingston technology hyperx predator ssd m 2 480gb 480 go pci express 2 0 1400 mo s noir 1 38w 1 99w,,wd 240gb green m 2 solid state drive ssd wds240g1g0b ln75755 scan uk,240gb wd green ssd m 2 22x80 ssd sata iii 6gb s 1 5 mm read 540mb s write 465mb s 68k 37k iops 80 tbw retail,,0,1574840#17373839
hp chroma 11 6 inch zwart blauw prijzen tweakers,,,hp chroma sleeve black blue 29 46 cm 11 6 store switzerland,wrap your laptop in a snug colorful sleeve the durable neoprene material helps keep your pc safe from the elements as well as from bumps and scrapes easily reversible so you can change colors to suit your mood 1 year hp commercial guarantee,,1,9533446#12558652
corsair vengeance lpx 16gb 4x4gb ddr4 pc4 25600c16 3200mhz quad channel kit red cmk16gx4m4c3200 ocuk,3200mhz ram speed cas 16 18 18 36 timings 1 35v vdimm lifetime warranty with ocuk,corsair,corsair vengeance lpx 16gb 2x8gb ddr4 pc4 19200c14 2400mhz dual channel kit black cmk16gx4m2a24 ocuk,2400mhz ram speed cas 14 16 16 31 timings 1 20 1 35v vdimm lifetime warranty with ocuk,corsair,0,1315888#5922997
samsung s24d330h 24 full hd led monitor inch 1ms hdmi ls24d330hsx en ccl computers,experience darker blacks with game modeinstantly optimising screen colours and contrast for gaming game mode ensures you get to see game scenes at their best easy on the eyes for a more comfortable viewing experienceeye saver mode unlike other colours emitted from screens blue light wavelengths have a more stimulating effect on the retina causing eye fatigue eye saver mode optimises your viewing comfort by smartly reducing blue light emissions at the touch of a button flicker free flicker free technology reduces screen flickering for a more comfortable viewing experiencesave energy and the environment with this eco friendly monitoreco saving plus eco saving technology reduces screen brightness for increased energy efficiency in addition to the two standard manual settings minimum at 25 and maximum at 50 there is now a brand new auto setting that reduces energy up about 10 based on the luminescence of the screen s black sections the screen brightness transitions fluidly while simultaneously saving energy pvc free monitor mechanisms and circuits are constructed without pvc making for an eco friendly device lessening environmental impact based on internal testing some cabling contains pvc,samsung,nzxt s340 elite black gaming case with hdmi vr support ln73808 ca s340w b3 scan uk,nzxt s340 elite desktop computer chassis mid tower side window hdmi 2x usb 3 0 mitx matx atx black,,0,15501993#9709399
sacoche bryker pour ordinateur portable 15 6 mallette 13 3 case logic,,,sacoche bryker pour ordinateur portable 15 6 sac dos convertible case logic,,,1,369679#5198181
"null , eh0146fawjb hp 146 gb 6g 15k 2 5 dp sas",description 10 x 146gb 2 5 inch serial attached scsi sas sff 6g dual port hot plug 15k hard drivein hpe drive tray as pictured for g1 g7 proliant serversgenuine number and firmwaregenuine certified drivepart s option part 512547 b21 spare 512744 001 assembly 512544 004 model eh0146fawjb,hp enterprise,"null , dg0300bahzq hp 300 gb 3g 10k 2 5 dp sas new pack wholesale price 5pack",description 5 x 300gb 2 5 inch serial attached scsi sas sff 3g dual port hot plug 10k hard drivein hpe hot plug hard drive tray as pictured for g1 g7 proliant sas serversgenuine hpe serial number and firmwaregenuine hpe certified hard drivepart number s option part 492620 b21 spare part 493083 001 assembly part 492619 002 model dg0300bahzq,hp enterprise,0,9327667#14429199
amd ryzen 5 six core 1600x 4 00ghz socket am4 processor retail ocuk,yd160xbcaewof six core with twelve threads 4 00ghz clock speed 14nm finfet process 16mb l3 cache dual channel ddr4 controller 3 year warranty,amd,amd processor ryzen 3 qc 1200 1ghz 4ghz turbo 8mb cache 65w 2667mhz buy at connection public sector solutions,,,0,4834427#3134695
"null , 249675 001 hp 512mb ddr 200mhz new wholesale price",description hp 512mb ddr 200mhz pc 1600 memorypart number s hewlett packard part 249675 001,hp enterprise,"null , 230994 001 hp rail kit for ml370 g2 g3",overview hp rack mounting hardware kit ml370 g2 g3part number s option part 230994 001,hp enterprise,0,15701726#16390886
lenovo thinkserver td350 tower xeon e5 2620v3 2 4 ghz 8 gb 0 70dg0009ux x86 based servers cdw com,the thinkserver td350 combines the latest intel xeon performance with legendary think quality and excellent systems management capabilities to deliver a high performance maximum storage density design great for smb mid market and remote offices td350 is a dual socket tower server providing full enterprise capabilities in a 4u tower form factor with up to 32 processor cores and 90 tb of storage the td350 is ideal for smb and large enterprise applications a complete portfolio of systems management tools increases uptime and productivity while keeping costs low enhanced hardware monitoring alerts and diagnostics combined with integrated provisioning and deployment tools make td350 the ultimate solution for any environment think enterprise engineered for maximum performance and storage capacity ideal for small and medium business,,lenovo topseller thinkserver td350 intel 2 4ghz xeon buy at connection public sector solutions,,,1,12375522#9942953
wd20efrx2tb disco duro 3 5 edici n red nas 64mb western digital wd20efrx sata iii 2tb,el disco duro wd20efrx de western digital nos ofrece un excelente rendimiento en equipos nas bajo consumo energ tico y un nivel de ruido totalmente contenido son las caracter sticas m s destacables de esta unidad de almacenamiento,western digital,western digital red 2tb sata3 64mb cache 3 5in internal hard disk drive hdd wd nas ncix,,,1,4971823#14608050
acer swift 1 sf113 31 p4a2 pink aspire s13 s5 371 5744 notebook neuware ovp ge ffnet aussteller notebooks arlt computer,,,asus transformer mini t102ha d4 10 1 atom x5 z8350 4 gb ram 128 gr notebook computers cdwg com,the ultra thin feather light asus transformer mini is two amazing devices in one built from a magnesium aluminum alloy it s ultra portable and has a long battery life,,0,3637185#5799692
4gb 2666mhz ddr4 cl15 hx fur bk tradineur com,capacidad total 16 gb frecuencia bus clock rate 2 666 mhz tecnolog a ddr4 tft kit no tipolog a dimm analogico generica s,,kingston 4gb pc4 21300 288 pin ddr4 sdram dimm hx426c15fb 4,,,1,11354446#14218383
572071 b21 hp 60 gb 2 5 mdl sata ssd dl165 g6 part,description hp 60gb 2 5 inch hot plug midline mdl serial ata sata ssd solid state drive for g1 g7 proliant sata serversgenuine hpe serial number and firmwaregenuine hpe certified solid state drivepart number s option part 572071 b21 spare part 572252 001 assembly part 570774 001 model mk0060eavdr,hp enterprise,hpe read intensive 2 solid state drive 240 gb sata 6gb s king of servers,,,0,16654660#15717479
sandisk 32 gb cf extreme pro 160mb s sdcfxps 032g x46 wts broadcast,get high capacity storage faster shot to shot performance and cinema quality video with the sandisk extreme pro compactflash memory card with transfer speeds of up to 160mb s this card offers the fast efficient performance you expect from the global leader in flash memory cards this industry leading memory card is optimized for professional grade video capture with a minimum sustained write speed of 65mb s for rich 4k and full hd video capacities up to 256gb accommodate hours of video and thousands of high resolution images so you never miss a scene or shot this memory card resists extreme temperatures shock and other conditions br br ul li designed for professional videographers and photographers li li optimized for 4k video capture li li transfer speeds of up to 160mb s li li shot speeds up to 150mb s li li vpg 65 for sustained video recording speeds of 65mb s li li capacities up to 256gb for storing hours of video li ul,sandisk,flash memory card ultra series sdhc uhs 1 class 10 16 gb sdsdu 016g u46 sandisk farnell fi,,sandisk,0,1229682#15650348
asus geforce gtx 1080 turbo 8192mb gddr5x pci express graphics card graphi ocuk,turbo gtx1080 8g core clock 1607mhz boost clock 1733mhz memory 8192mb 10000mhz gddr5x stream processors 2560 sli ready vr ready physx cuda enabled 3 years warranty,asus,asus geforce gtx 1070 ti turbo boost pcie 3 0 graphics card 8gb gddr5 buy at connection public sector solutions,,,0,1066527#9352325
kingston hyperx fury blu hx316c10f 4 prijzen tweakers,,,corsair vengeance ddr3 8 gb 2 x 4 so dimm 204 pin cmsx8gx3m2a1600c9 system memory ram cdw com,vengeance low profile heat spreaders have a reduced height of 1 03 they re designed for high performance systems with extra large cpu coolers small form factor system builds or any other space constrained application where you need high performance memory but standard vengeance modules might not fit,,0,13063350#1496284
kingston hyperx predator ssd m 2 480gb prijzen tweakers,,,wd green pc ssd wds240g1g0b solid state drive 240 gb sata 6gb s drives ssds cdw com,with the performance boost from a wd green sata ssd you can browse the web play a game or simply start your system in a flash lightweight and shock resistant wd green ssds use no moving parts and help keep your data safe from loss in the case of accidental bumps and drops,,0,16217005#1808381
corsair vengeance led cmu16gx4m2a2666c16r prijzen tweakers,,,corsair vengeance red led 16gb 2x8gb ddr4 pc4 21300 2666mhz dual channel kit cmu16gx4m2a2666c16r novatech,ddr4 2666mhz cl16 1 2v xmp 2 0 red led lifetime warranty,corsair,1,5278395#78307
sandisk 16gb sdsdb 016g sdhc secure digital card 15mb s class 4 limited,16gb sandisk sdhc 9 pin class 4 min 15 mb s read and write speeds 2 7v to 3 3v voltage support 24mm x 32mm 1mm secure digital high capacity card for cameras video media players other flash devices,sandisk,gigaram sd 1gb li bxp 9p secure digital card 17 3 mbs 117x with elite pro label,sd 1gb li bxp 9p secure digital card 17 3 mbs 117x with elite pro label,gigaram,0,7548913#13611715
"null , 364622 b23 hp 300 gb 10k fc al hdd",description storageworks 300gb 10k fibre channel 40 pin 2gb s hotswap fcal hard drivegenuine hpe serial number and firmwarepart option part 364622 b23 spare 366023 001 assembly 359438 010 model bd3005b779,hp enterprise,"null , 359461 007 hp 300 gb 10k fc al new 5 pack wholesale price 5pack",description 5 x storageworks 300gb 10k fibre channel 40 pin 2gb s hotswap fcal hard drive part number s option part 364622 b22 spare part 366023 001or spare part 366023 002 rohs assembly part 359461 007 assembly part 359461 003 model bd30058232,hp enterprise,0,16553871#13103634
hdd gold re 6tb sata 128mb 3 5 cables tu tienda online l der con precios m s baratos,wd gold datacenter hard drive wd6002fryz disco duro 6 tb interno 3 5 sata 6gb s 7200 rpm b fer 128 mb,,hdd desk black 1tb 3 5 sata 6gbs 64mb tpv punto de venta tu tienda online l der con precios m s baratos,wd black performance hard drive wd1003fzex disco duro 1 tb interno 3 5 sata 6gb s 7200 rpm b fer 64 mb,,0,17152686#10127959
kingston 64gb datatraveler se9 g2 usb 3 0 flash drive dtse9g2,,,memoria usb 32gb kingston datatraveler se9h,memoria usb 32gb kingston datatraveler se9h acero llavero,,0,9959653#4062044
kingston datatraveler microduo 3c 32gb zilver prijzen tweakers,,,kingston technology gmbh lambdatek usb flash drives,,mfr num dtduo3c 32gb,1,4985896#2288826
seagate 8tb st8000ne0021 ironwolf pro nas internal hard drive hdd ln79524 scan uk,8tb seagate ironwolf pro nas hard drive sata iii 6gb s 7200rpm 256mb cache 4 16ms,,wd purple 2tb 3 5 sata3 hd cctv hdd hard drive wd20purz ln82090 scan uk,2tb wd purple wd20purz 3 5 av surveillance hdd sata iii 6gb s 5400rpm 64mb cache ncq oem,,0,13888362#2417595
hp 250 g6 fhd intel core i5 7200u 8gb 1tb 15 6 w10pro plata ceniza osc stream 14 ax003ns n3060 4gb 32gb ssd emmc w10 black friday,windows 10 pro 64 bit edition intel core i5 7 gen 7200u a 2 5 ghz y turbo a 3 1ghz memoria ram 8gb a 2133 mhz pc4 17000 2133 mhz disco duro 1tb hdd sata 6gb s 5400 rpm 15 6 led pantalla full hd 1920x1080 graficos intel hd graphics 620 hasta 1 5gb 802 11a b g n ac bluetooth 4 2,,hp pavilion power 15 cb008ns i7 7700hq 8gb 1tb nvidia gtx1050 2gb 6 250 g5 i3 5005u 4gb 128gb ssd w10 black friday 2017,windows 10 home 64 intel core i7 7700hq frecuencia base de 2 8 ghz hasta 3 8 ghz con tecnolog a intel turbo boost 6 mb de cach 4 n cleos 8gb ddr4 2400 1 x 8 gb disco duro sata de 1tb 7200 rpm nvidia geforce gtx 1050 gddr5 de 2 gb dedicados 15 6 pantalla fhd ips con retroiluminaci n wled y antirreflejos 1 920 x 1 080,,0,193764#9497727
transcend ts64gusdu1 flash memory card 64 gb sdxc uhs i cards cdw com,combining next generation ultra high speed class 1 technology with extra large capacity transcend microsdxc uhs i memory cards not only provide the best possible performance during a host of mobile activities but also enough storage space to carry an entire collection of personal media files today s advanced smartphones and tablets are fast and powerful with memory hungry apps and full hd recording capabilities that perform best with high speed high capacity storage media offering vast storage space and superior read write speeds transcend s micro sdhc card is the perfect memory upgrade solution to keep pace with your mobile lifestyle,,transcend micro sdhc uhs i u3 32 gb class 10 memory card adapter 95 mb,features supports ultra high speed class 3 specification u3 class 10 compliant read up to 95 mb s write up to 85 mb s smooth full hd 3d and 4k video recording performance mlc flash based performance and reliability extremely protective waterproof temperature proof static proof x ray proof shock proof ideal for action cameras and smartphones exclusive recover photo recovery software lifetime warranty,,0,11347714#7440444
ram 8gb 2rx8 10600 9 udimm tradineur com,capacidad total 8 gb frecuencia bus clock rate 1 333 mhz tecnolog a ddr3 tft kit no tipolog a dimm analogico generica no,,hpe ddr3 16 gb dimm 240 pin 672631 b21 server memory cdw com,there are many demands on your server is it performing reliably and efficiently when you choose hpe ddr3 smartmemory you get significant data transfer speed and capacity improvements over older ddr technologies backed by our industry leading reliability all of our smartmemory goes through rigorous modeling qualification and testing processes that unlock extended memory performance features this extensive testing ensures that your hpe server memory is completely compatible with and optimized for your hpe server hpe servers configured with hpe ddr3 smartmemory deliver extended performance and manageability in a number of configurations that is not supported using third party dimms,,0,8764917#10617368
corsair vengeance lpx black 16gb 4x4gb ddr4 pc4 19200 2400mhz dual channel kit skylake cmk16gx4m4a2400c16 novatech,2400mhz ram speed cl16 1 2v dimm xmp 2 0 lifetime warranty,corsair,corsair vengeance lpx ddr4 2400 pc4 19200 16gb 4x4gb cl16,,,1,16057662#15962490
zotac nvidia geforce gtx 1050 ti 4gb oc graphics card ln75997 zt p10510b 10l scan uk,zotac geforce gtx 1050 ti oc edition 4gb gddr5 graphics card 768 core 1392mhz gpu 1506mhz boost,,asus nvidia geforce gtx 1060 6gb turbo graphics card ln73869 gtx1060 6g scan uk,asus geforce gtx 1060 turbo 6gb gddr5 vr ready graphics card 1280 core 1506mhz gpu 1708mhz boost,,0,15382664#17497317
corsair carbide 100r silent edition black case midi tower usb 3 0 cc 9011077 ww ccl computers,build a high performance low noise pc that looks good anywhere sometimes you need to build a monster rig that doesn t look or sound like one instead you need a case that offers you the flexibility that installing your top of the line hardware requires but without all the visual spectacle of the more hardcore models the carbide series 100r silent edition mid tower case does exactly that the sleek understated design aesthetic looks like serious business while the sound damping side panels adjustable cooling fans usb 3 0 support and tool free access door all say serious gaming power and it all comes at a price that states serious value simple elegant and sharpit s the performance pc platform in stealth mode with a mesh free front panel and clean understated lines the 100r silent edition is both professional enough for the office and customizable enough for any home pc build keep it quietthe side panels are insulated with noise isolating materials to reduce noticeable fan noise this essential if you re building a media pc and just plain nice if don t want your system to contribute to environmental noise 3 speed fan controllerthe secret to silent pc design is putting you in control keep the three speed fan controller at its lowest setting for silent operation when it s time to push your system hard take it up a notch or two for on demand cooling storage simplified the simplicity begins with tool free 3 5 and 5 25 drive installation and all four hard drive trays provide solid state drive support so you can mix and match to fit your needs on the outside dual usb 3 0 front panel ports give you quick and easy access to the latest high speed portable hard drives and flash drives creative coolingtwo 120mm fans are included and five internal fan mounts let you customize your cooling to match your build the case is designed to draw airflow directly to the gpu to help ensure that you and your graphics card will both keep your cool during intense gaming sessions about carbide series pc casescorsair carbide series mid tower pc cases have the high end features you need and nothing you don t designed to be the foundation of awesome yet approachable gaming pcs they combine the latest technology and ergonomic innovations with lots of room to build and expand and amazing cooling potential,corsair,corsair carbide spec 03 orange windowed,corsair carbide spec 03 bo tier midi tour pc atx micro atx mini itx bas 1x 120 mm 120 140 mm,,0,14296074#5029139
"null , 454141 002 hp 500 gb 7 2k 3 5 sata new 2 pack wholesale price 2pack",description 2 x 500gb hot plug serial ata sata 1 5gb s hard drive 7200 rpm 3 5 inch form factor 1 0 inch high ncq native command queing in hpe hot plug hard drive tray as pictured for g1 g7 proliant sata serversgenuine hpe serial number and firmwaregenuine hpe certified hard drivepart number s option part 395473 b21 spare part 395501 002 assembly part 454141 002 model gb0500c8046,hp enterprise,"628061 s21 sc hp g8 g9 3 tb 6g 7 2k 5 sata , null",description hp 3tb 3 5 inch lff serial ata sata 6g7 2k hot plug midline mdl hard drive in g8 g9 gen8 gen9 smartdrive carrier sc as pictured genuine hpe number and firmwaregenuine certified drivepart s option part 628061 s21 spare 628182 001,hp enterprise,0,17095010#16501051
"356816 001 ml350t g4p xeon 3 2 2mb 512mb , null wholesale price",description proliant ml350 g4p 4u tower server 3 2ghz xeon 512mb ddr2hewlett packard part 356816 001,hp enterprise,"377239 001 dl580 g3 intel xeon mp 3 16ghz , null",description rack mountable 4u 4 way intel xeon mp 3 16 ghz ram 1 gb hot swap 2 5 inch no hdd dvd cd gigabit ethernet hp part 377239 001,hp enterprise,0,15405182#17188220
msi z170a pc mate intel z170 socket 1151 ddr4 atx motherboard motherbo ocuk,skylake 6th gen ddr4 2x pcie x16 3x pcie x1 2x pci 6x sata 6gb s sata express m 2 sata pcie gigabit lan 7 1 hd audio 2x usb 3 1 6x usb3 0 4x usb2 0 crossfire,msi,gigabyte b250m d3h kaby lake micro atx motherboard ln77113 ga scan uk,gigabyte b250m d3h intel b250 s 1151 ddr4 satae m 2 pcie sata 2 way crossfire gbe usb 3 1 gen1 a micro atx,,0,16892576#1615109
"micron technology 127005031 256mb sdram memory pc 133 , lexmark hp 18188717 tecmar compaq ast dec dell 128mb 1gb intermec ibm printronix 18187327 samsung",short description micron technology 127005031 256mb sdram memory pc 133,,"300680 b21 hp 2gb 2x1gb 266mhz sdram kit , null new wholesale price",description genuine hpe 2gb 2x1gb registered 266mhzddr pc2100 ecc sdram memory kitpart number s option part 300680 b21 2 modules per kit spare part 300701 001 2 modules per kit assembly part 261585 041 2 modules per kit,hp enterprise,0,3978648#14832469
intel core i7 6700k unlocked oem skylake desktop processor cpu ln68285 cm8066201919901 scan uk,intel core i7 6700k s 1151 skylake quad core 4 0ghz 4 2ghz turbo 8mb cache 1150mhz gpu 40x ratio 91w cpu oem,,b grade intel i7 4820k 3 70ghz ivybridge e socket lga2011 processor retail bx80633i74820k lga2 ocuk,quad core technology 3 70ghz clock speed 10mb l3 cache hyper threading technology quad channel ddr3 controller 3 yr warranty,intel,0,15373083#4173190
hewlett packard enterprise dvd rom internal black optical disc drive specs drives 361040 b21,"more short summary description hewlett packard enterprise dvd rom internal black optical disc drive this short summary of the hewlett packard enterprise dvd rom internal black optical disc drive data sheet is auto generated and uses the product title and the first six key specs hewlett packard enterprise dvd rom black 1 09 kg long summary description hewlett packard enterprise dvd rom internal black optical disc drive hewlett packard enterprise dvd rom colour of product black weight 1 09 kg this is an auto generated long summary of hewlett packard enterprise dvd rom internal black optical disc drive based on the first three specs of the first five spec groups ,  long product name hewlett packard enterprise dvd rom internal black optical disc drive the short editorial description of hewlett packard enterprise dvd rom internal black optical disc drive slimline dvd rom drive",hewlett packard enterprise,"287497 b21 hp 1gb 266mhz ddr pc2100 , null new wholesale price",description genuine hpe 1gb registered 266mhz ddrpc2100 ecc sdram memory kit 1x1024mb part number s option part 287497 b21,hp enterprise,0,1246918#14350649
tp link 16port gb easy smart switch tl sg1016de,,,8 port poe layer 2 fast ethernet switch des 1008p d link deutschland,datenblatt downloaden bezugsquellen,,0,14209800#2286657
kingston hyperx fury 16 go ddr3 net d veloppements com ht,,kingston,kingston fury 16gb 2 x 8gb ddr4 2133 memory hx421c14fb2k2 16 pcpartpicker canada,,kingston,0,15228707#17062292
hpe ethernet 1gb 4 port 331t adapter 647594 b21,,,"null , 629142 b21 hp flexfabric 10gb 2 port 554flr adapter new wholesale price",description hp flexfabric 10gb 2 port 554flr sfp adapterpart number s manufacturer part 629142 b21,hp enterprise,0,21806#13794434
iguy ipad mini 4 cases also fits 3 2 and,tab new2 background color fff padding 1em 2em tab new2 p line height 1 4 padding 0 5em 0 font size 1 2em color 666 iguy is a fun free standing ipad mini 4 case that s designed to make an impact and take one just as protective he is fun to play with iguy is the perfect ipad mini kid case for children young and old iguy s protective yet flexible foam is perfect for small hands and not so gentle drops the pvc free construction is durable yet lightweight and all around safe for kids plus this iguy ipad mini cover stands on his own for tabletop viewing the whole family can enjoy like all of our products this ipad mini case has been lab tested against extreme temperatures cracks chemicals and abrasions plus iguy meets the requirements for mil std 810g drop test standards so you are guaranteed a dependable military grade protective ipad mini case speck makes products that are designed for impact to protect the tech you rely on with a balance of slim lines and military grade protection we provide a difference you can see and feel,speck,apple smart keyboard for 10 5 inch ipad pro us english,smart keyboard for 10 5 inch ipad pro us english,apple,0,5746975#2595514
corsair vengeance 8gb 2 x 4gb ddr3 1866 memory cmz8gx3m2a1866c9 pcpartpicker,,corsair,corsair vengeance cmz8gx3m2a1866c9 8gb 2x4gb ddr3 1866 cl9 10 9 27 memory kit ncix,,,1,1625775#7989053
"310590 001 hp proliant ml370 3 06ghz , null wholesale price",description hp proliant ml370 g3 xeon 3 06ghz 512k towerpart number s hewlett packard part 310590 001,hp enterprise,"null , 377239 001 dl580 g3 intel xeon mp 3 16ghz wholesale price",description rack mountable 4u 4 way intel xeon mp 3 16 ghz ram 1 gb hot swap 2 5 inch no hdd dvd cd gigabit ethernet hp part 377239 001,hp enterprise,0,16793208#17332690
"sandisk ultra flash memory card 16 gb sdhc uhs i , series prices cnet",,sandisk,sdsdu 016g u46 nr netram,sd card 16gb sdhc,,1,15333599#1741534
"122633 001 fan chassis 120mm 130 , null",description fan chassis 120mm 130cfm v speed 3blpart number s manufacturer part 122633 001,hp enterprise,hp genuine not third party or generic 512mb pc2700 ecc new bulk 370780 001 s detail page server nexus llc,,hp,0,13036398#3315800
corsair vengeance lpx 32gb 2 x 16gb ddr4 2666 memory cmk32gx4m2a2666c16 pcpartpicker espa a,,corsair,corsair 64gb vengeance lpx ddr4 2666mhz ram memory kit 4x 16gb ln69002 cmk64gx4m4a2666c16 scan uk,64gb 4x16gb corsair ddr4 vengeance lpx black pc4 21300 2666 non ecc unbuffered cas 16 18 18 35 xmp 2 0 1 2v,,0,12762112#452674
corsair air series sp120 120mm 2350rpm 62 74cfm 35dba high static pressure fan dual pack co 9050008 ww ncix,,,corsair carbide series air 240 cube micro atx cc 9011070 ww computer cases cdwg com,meet the carbide series air 240 an extraordinary small form factor pc case for mini itx and microatx computers the eye catching cube design complete with a full side window hosts an internal layout optimized for maximum airflow or advanced water cooling configurations don t let the compact size full you this little one handles full size components while still offering roomy installation space,,0,8213426#7186442
"dg0146famwl hp 146 gb 6g 10k 2 5 dp sas , null new 10 pack wholesale price 10pack",description 10 x 146gb 2 5 inch serial attached scsi sas sff 6g dual port hot plug 10k hard drivein hpe hot plug hard drive tray as pictured for g1 g7 proliant sas serversgenuine hpe serial number and firmwaregenuine hpe certified hard drivepart number s option part 507125 b21 spare part 507283 001 assembly part 507119 001 model dg0146famwl,hp enterprise,dh0072balwl hp 72 gb 3g 15k 2 5 dp sas hdd,description 72gb 2 5 inch serial attached scsi sas sff3g dual port hot plug 15k hard disk drivefor g1 g7 proliant serversgenuine hpe number and firmwaregenuine certified drivepart s option part 418371 b21 spare 418398 001 assembly 504064 002 model dh0072balwl,hp enterprise,0,13913785#6970833
"st2000nm0011 seagate 2 tb 7 2k 3 5 6g sp sata , null pack wholesale price 5pack",description 5 x seagate constellation es 2 tb hot plug serial ata sata 6 0gb s 7200rpm 3 5 inch form factor single port 64mb hard drivepart number s manufacturer part st2000nm0011,seagate,hpe midline hard drive 500 gb sata 6gb s 658071 b21 enterprise drives cdw com,do your servers need reliable economical high capacity midline hard drives for your growing storage workload needs hpe server midline hard drives deliver the highest capacity performance and reliability to your datacenter applications hpe midline hard drives allow you to store more data without sacrificing performance or reliability they are ideal to store all your bulk storage requirements hpe server midline hard drives are available in both 3 5 inch large form factor lff and 2 5 inch small form factor sff and ship with a standard one year warranty all hpe hard drives pass a rigorous qualification process which certify that every drive is proven to perform in your hpe proliant server environments before final certification all hpe server midline hard drives are optimized for compatibility and functionality including support of smart and hpe systems insight manager,,0,12113354#10723257
apple ipad air 2 midnight blue smart case mgtt2zm a,,apple,speck products seethru case for 13 inch macbook air carrying cases page 961 office supplies authority,your macbook air was made to be lightweight and incredibly thin so we made our hard shell macbook air cases to match made of durable polycarbonate this sleek super thin macbook air case snaps onto your laptop in two pieces seethru is precision engineered to fit perfectly for a macbook case that holds secure and removes easily bright color choices vent slots on the bottom and anti tilt rubberized feet enhance your computing experience protect your macbook air without sacrificing the slim lightweight look and feel,speck,0,9894638#17267431
intel core i5 4590 3 ghz processor bx80646i54590 add in processors cpus cdw com,with intelligent performance that accelerates in response to demanding tasks such as playing games and editing photos the intel core i5 processor moves faster when you do the intel core i5 processor automatically allocates processing power where it s needed most whether you re creating hd video composing digital music editing photos or playing the coolest pc games with the intel core i5 processor you can multitask with ease and be more productive than ever,,intel core i3 4150 boxed prijzen tweakers,,,0,5515787#6078745
kingston datatraveler microduo usb flash drive 64 gb dtduo3 64gb thumb drives cdw com,kingston s datatraveler microduo provides additional storage in a small convenient form factor for tablets and smartphones that support the usb otg on the go functionality the usb otg standard allows mobile devices to directly connect to supported usb devices datatraveler microduo allows microusb ports often used for charging devices to be used as expansion ports for the additional memory ideal for storing large files while traveling dtduo gives plug and play functionality to tablets and smartphones without microsd ports at a lower price per gb than the extra built in storage on a mobile device with smartphones and tablets recording hd video and taking higher resolution photos space on the device gets used up faster than ever dtduo lets users move files photos videos and more without plugging into a pc to offload or backup content sharing large files between mobile devices is easier than using online cloud services and there s no need for a cable to transfer data between the device and a pc dt microduo is small lightweight and easy to take anywhere plus its sleek design complements any mobile device its rotating cap protects the microusb connector from damage,,corsair flash survivor 64 gb usb 3 0 drive black cmfss3b 64gb novatech,,corsair,0,11656318#5622216
